loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,st_teff,st_mass,st_rad,rowupdate,pl_facility,last_updated
571,HD 215152,d,HD 215152 d,Radial Velocity,4,10.86499,0.08799,0.0,,0.00881,Msini,,,4935.0,0.77,0.73,2018-02-22,La Silla Observatory,2018-02-22
572,HD 215152,e,HD 215152 e,Radial Velocity,4,25.1967,0.15417,0.0,,0.00905,Msini,,,4935.0,0.77,0.73,2018-02-22,La Silla Observatory,2018-02-22
573,HD 215497,b,HD 215497 b,Radial Velocity,2,3.93404,0.05,0.16,,0.02,Msini,,,5110.0,0.67,0.85,2018-09-06,La Silla Observatory,2018-09-06
574,HD 215497,c,HD 215497 c,Radial Velocity,2,567.94,1.282,0.49,,0.33,Msini,,,5110.0,0.67,0.85,2014-11-19,La Silla Observatory,2014-11-19
575,HD 216435,b,HD 216435 b,Radial Velocity,1,1311.0,2.56,0.07,,1.26,Msini,,,5999.0,1.3,,2014-07-23,Anglo-Australian Telescope,2014-07-23
576,HD 216437,b,HD 216437 b,Radial Velocity,1,1256.0,2.32,0.29,,1.82,Msini,,,5887.0,1.06,,2015-04-24,Anglo-Australian Telescope,2015-04-24
577,HD 216536,b,HD 216536 b,Radial Velocity,1,148.60001,0.61,0.38,,1.05,Msini,,,4639.0,0.81,9.83,2018-09-06,McDonald Observatory,2018-09-06
578,HD 216770,b,HD 216770 b,Radial Velocity,1,118.45,0.46,0.37,,0.57,Msini,,,5399.0,0.74,0.93,2018-09-06,La Silla Observatory,2018-09-06
579,HD 21693,b,HD 21693 b,Radial Velocity,2,22.6786,0.1455,0.12,,0.0259,Msini,,,5430.0,0.8,,2019-02-07,La Silla Observatory,2019-02-07
580,HD 21693,c,HD 21693 c,Radial Velocity,2,53.7357,0.2586,0.07,,0.0547,Msini,,,5430.0,0.8,,2019-02-07,La Silla Observatory,2019-02-07
581,HD 217107,b,HD 217107 b,Radial Velocity,2,7.12682,0.08,0.13,,1.3,Msini,,,5622.0,1.0,1.11,2018-09-06,Lick Observatory,2018-09-06
582,HD 217107,c,HD 217107 c,Radial Velocity,2,4270.0,5.32,0.517,,2.6,Msini,,,5622.0,1.0,1.11,2014-05-14,Lick Observatory,2014-05-14
583,HD 217786,b,HD 217786 b,Radial Velocity,1,1319.0,2.38,0.4,,13.0,Msini,,,5966.0,1.02,1.27,2019-01-31,La Silla Observatory,2019-01-31
584,HD 217850,b,HD 217850 b,Radial Velocity,1,3501.3,4.56,0.7621,,21.6,Msini,,,5544.0,1.03,1.21,2018-09-27,W. M. Keck Observatory,2018-09-27
585,HD 218566,b,HD 218566 b,Radial Velocity,1,225.7,0.69,0.3,,0.2,Msini,,,4730.0,0.76,0.85,2018-09-06,W. M. Keck Observatory,2018-09-06
586,HD 219077,b,HD 219077 b,Radial Velocity,1,5501.0,6.22,0.77,,10.39,Msini,,,5362.0,1.05,1.91,2014-05-14,La Silla Observatory,2014-05-14
587,HD 219134,b,HD 219134 b,Radial Velocity,6,3.092926,0.03876,0.0,85.05,0.01491,Mass,0.14300000000000002,6.34,4699.0,0.81,0.78,2017-03-16,Roque de los Muchachos Observatory,2017-03-16
588,HD 219134,c,HD 219134 c,Radial Velocity,6,6.76458,0.0653,0.062,87.28,0.01372,Mass,0.135,6.95,4699.0,0.81,0.78,2017-03-16,Roque de los Muchachos Observatory,2017-03-16
589,HD 219134,d,HD 219134 d,Radial Velocity,6,46.859,0.237,0.138,,0.05088,Mass,0.14400000000000002,,4699.0,0.81,0.78,2017-03-16,Roque de los Muchachos Observatory,2017-03-16
590,HD 219134,f,HD 219134 f,Radial Velocity,6,22.717,0.1463,0.148,,0.022969999999999997,Mass,0.11699999999999999,,4699.0,0.81,0.78,2017-03-16,Multiple Observatories,2017-03-16
591,HD 219134,g,HD 219134 g,Radial Velocity,6,94.2,0.3753,0.0,,0.034,Msini,,,4699.0,0.81,0.78,2015-11-19,Multiple Observatories,2015-11-19
592,HD 219134,h,HD 219134 h,Radial Velocity,6,2247.0,3.11,0.06,,0.34,Msini,,,4699.0,0.81,0.78,2015-11-19,Roque de los Muchachos Observatory,2015-11-19
593,HD 219415,b,HD 219415 b,Radial Velocity,1,2093.3,3.2,0.4,,1.0,Msini,,,4820.0,1.0,2.9,2015-09-18,McDonald Observatory,2015-09-18
594,HD 219828,b,HD 219828 b,Radial Velocity,2,3.83492,0.0507,0.101,,0.066,Msini,,,5807.0,1.18,1.61,2018-09-27,La Silla Observatory,2018-09-27
595,HD 219828,c,HD 219828 c,Radial Velocity,2,4682.0,5.79,0.8102,,14.6,Msini,,,5807.0,1.18,1.61,2018-09-27,Multiple Facilities,2018-09-27
596,HD 220074,b,HD 220074 b,Radial Velocity,1,672.09998,1.6,0.14,,16.64,Msini,,,3787.0,2.2,54.92,2018-09-06,Bohyunsan Optical Astronomical Observatory,2018-09-06
597,HD 220689,b,HD 220689 b,Radial Velocity,1,2209.0,3.36,0.16,,1.06,Msini,,,5921.0,1.04,1.07,2014-05-14,La Silla Observatory,2014-05-14
598,HD 220773,b,HD 220773 b,Radial Velocity,1,3724.7,4.94,0.51,,1.45,Msini,,,5940.0,1.16,,2019-01-31,McDonald Observatory,2019-01-31
599,HD 220842,b,HD 220842 b,Radial Velocity,1,218.47,0.74,0.404,,3.18,Msini,,,5960.0,1.13,,2016-02-25,Haute-Provence Observatory,2016-02-25
600,HD 221287,b,HD 221287 b,Radial Velocity,1,456.1,1.25,0.08,,3.09,Msini,,,6304.0,1.25,,2014-05-14,La Silla Observatory,2014-05-14
601,HD 221585,b,HD 221585 b,Radial Velocity,1,1173.0,2.306,0.123,,1.61,Msini,,,5620.0,1.19,,2016-05-19,Haute-Provence Observatory,2016-05-19
602,HD 222076,b,HD 222076 b,Radial Velocity,1,871.0,1.83,0.08,,1.56,Msini,,,4806.0,1.07,4.1,2016-12-01,Multiple Observatories,2016-12-01
603,HD 222155,b,HD 222155 b,Radial Velocity,1,3999.0,5.14,0.16,,2.12,Msini,,,5701.0,1.21,1.85,2018-09-06,Haute-Provence Observatory,2018-09-06
604,HD 222582,b,HD 222582 b,Radial Velocity,1,572.38,1.34,0.73,,8.37,Msini,,,5790.0,1.12,1.13,2018-09-06,W. M. Keck Observatory,2018-09-06
605,HD 224538,b,HD 224538 b,Radial Velocity,1,1189.1,2.28,0.464,,5.97,Msini,,,6097.0,1.34,1.54,2016-11-10,Multiple Observatories,2016-11-10
606,HD 224693,b,HD 224693 b,Radial Velocity,1,26.6904,0.191,0.104,,0.7,Msini,,,5894.0,1.31,1.93,2018-09-27,W. M. Keck Observatory,2018-09-27
607,HD 22781,b,HD 22781 b,Radial Velocity,1,528.07,1.167,0.8191,,13.65,Msini,,,5027.0,0.75,,2019-01-31,Haute-Provence Observatory,2019-01-31
608,HD 23079,b,HD 23079 b,Radial Velocity,1,730.59998,1.6,0.1,,2.61,Msini,,,5974.0,1.12,1.07,2018-09-06,Anglo-Australian Telescope,2018-09-06
609,HD 23127,b,HD 23127 b,Radial Velocity,1,1214.0,2.32,0.44,,1.64,Msini,,,5773.0,1.42,1.64,2018-09-06,Anglo-Australian Telescope,2018-09-06
610,HD 231701,b,HD 231701 b,Radial Velocity,1,141.63,0.567,0.13,,1.13,Msini,,,6101.0,1.21,1.53,2018-09-27,W. M. Keck Observatory,2018-09-27
611,HD 233604,b,HD 233604 b,Radial Velocity,1,192.0,0.747,0.05,,6.575,Msini,,,4791.0,1.5,10.9,2014-05-14,McDonald Observatory,2014-05-14
612,HD 23596,b,HD 23596 b,Radial Velocity,1,1561.0,2.77,0.27,,9.03,Msini,,,6040.0,1.47,1.53,2018-09-06,Haute-Provence Observatory,2018-09-06
613,HD 238914,b,HD 238914 b,Radial Velocity,1,4100.0,5.7,0.56,,6.0,Msini,,,4769.0,1.47,12.73,2018-01-25,Multiple Observatories,2018-01-25
614,HD 240210,b,HD 240210 b,Radial Velocity,1,501.75,1.16,0.15,,5.21,Msini,,,4297.0,0.82,,2014-11-19,McDonald Observatory,2014-11-19
615,HD 240237,b,HD 240237 b,Radial Velocity,1,745.70001,1.92,0.4,,15.89,Msini,,,3926.0,8.76,71.23,2018-09-06,McDonald Observatory,2018-09-06
616,HD 24040,b,HD 24040 b,Radial Velocity,1,3668.0,4.92,0.04,,3.86,Msini,,,5802.0,1.11,1.3,2018-09-06,W. M. Keck Observatory,2018-09-06
617,HD 24064,b,HD 24064 b,Radial Velocity,1,535.59998,1.29,0.35,,12.89,Msini,,,4052.0,1.61,40.0,2018-09-06,Bohyunsan Optical Astronomical Observatory,2018-09-06
618,HD 25171,b,HD 25171 b,Radial Velocity,1,1845.0,3.02,0.08,,0.95,Msini,,,6160.0,1.09,1.18,2019-01-31,La Silla Observatory,2019-01-31
619,HD 2638,b,HD 2638 b,Radial Velocity,1,3.4442,0.04,0.0,,0.42,Msini,,,5186.0,0.77,0.94,2018-09-06,La Silla Observatory,2018-09-06
620,HD 26965,b,HD 26965 b,Radial Velocity,1,42.378,,0.04,,0.02665,Msini,,,5072.0,0.78,0.87,2018-08-09,Multiple Observatories,2018-08-09
621,HD 27442,b,HD 27442 b,Radial Velocity,1,428.1,1.271,0.06,,1.56,Msini,,,4846.0,1.23,,2014-07-23,Anglo-Australian Telescope,2014-07-23
622,HD 27631,b,HD 27631 b,Radial Velocity,1,2208.0,3.25,0.12,,1.45,Msini,,,5737.0,0.94,1.0,2014-05-14,La Silla Observatory,2014-05-14
623,HD 27894,b,HD 27894 b,Radial Velocity,3,18.02,0.125,0.047,,0.665,Msini,,,,0.8,,2017-06-15,La Silla Observatory,2017-06-15
624,HD 27894,c,HD 27894 c,Radial Velocity,3,36.07,0.198,0.015,,0.162,Msini,,,,0.8,,2017-06-15,La Silla Observatory,2017-06-15
625,HD 27894,d,HD 27894 d,Radial Velocity,3,5174.0,5.448,0.389,,5.415,Msini,,,,0.8,,2017-06-15,La Silla Observatory,2017-06-15
626,HD 28185,b,HD 28185 b,Radial Velocity,1,379.0,1.02,0.05,,5.9,Msini,,,5662.0,1.02,1.03,2018-09-06,La Silla Observatory,2018-09-06
627,HD 28254,b,HD 28254 b,Radial Velocity,1,1116.0,2.15,0.81,,1.16,Msini,,,5664.0,1.06,1.48,2014-11-19,La Silla Observatory,2014-11-19
628,HD 285507,b,HD 285507 b,Radial Velocity,1,6.0881,0.06,0.09,,0.98,Msini,,,4503.0,0.82,0.69,2018-09-06,Fred Lawrence Whipple Observatory,2018-09-06
629,HD 285968,b,HD 285968 b,Radial Velocity,1,8.7836,0.066,0.0,,0.026,Msini,,,3679.0,0.45,0.45,2014-11-19,La Silla Observatory,2014-11-19
630,HD 28678,b,HD 28678 b,Radial Velocity,1,380.2,1.18,0.149,,1.542,Msini,,,4972.0,1.53,6.48,2018-12-06,W. M. Keck Observatory,2018-12-06
631,HD 29021,b,HD 29021 b,Radial Velocity,1,1362.3,2.28,0.459,,2.4,Msini,,,5560.0,0.85,0.85,2017-03-02,Haute-Provence Observatory,2017-03-02
632,HD 290327,b,HD 290327 b,Radial Velocity,1,2443.0,3.43,0.08,,2.43,Msini,,,5505.0,0.84,0.95,2018-09-06,La Silla Observatory,2018-09-06
633,HD 2952,b,HD 2952 b,Radial Velocity,1,311.60001,1.23,0.13,,1.37,Msini,,,4844.0,1.97,10.76,2018-09-06,Okayama Astrophysical Observatory,2018-09-06
634,HD 30177,b,HD 30177 b,Radial Velocity,2,2770.0,3.81,0.19,,9.46,Msini,,,5556.0,0.93,1.13,2018-09-06,Anglo-Australian Telescope,2018-09-06
635,HD 30177,c,HD 30177 c,Radial Velocity,2,11613.0,9.89,0.22,,7.6,Msini,,,5556.0,0.93,1.13,2016-12-21,Multiple Observatories,2016-12-21
