loc_rowid,pl_hostname,pl_letter,pl_name,pl_discmethod,pl_pnum,pl_orbper,pl_orbsmax,pl_orbeccen,pl_orbincl,pl_bmassj,pl_bmassprov,pl_radj,pl_dens,st_teff,st_mass,st_rad,rowupdate,pl_facility,last_updated
1643,Kepler-1290,b,Kepler-1290 b,Transit,1,4.69500134,,,,,,0.127,,5660.0,0.95,0.93,2016-05-10,Kepler,2016-05-10
1644,Kepler-1291,b,Kepler-1291 b,Transit,1,8.63043276,,,,,,0.14800000000000002,,5216.0,0.84,0.8,2016-05-10,Kepler,2016-05-10
1645,Kepler-1292,b,Kepler-1292 b,Transit,1,3.27646405,,,,,,0.162,,5556.0,0.95,0.93,2016-05-10,Kepler,2016-05-10
1646,Kepler-1293,b,Kepler-1293 b,Transit,1,5.57654784,,,,,,0.087,,6241.0,1.18,1.28,2016-05-10,Kepler,2016-05-10
1647,Kepler-1294,b,Kepler-1294 b,Transit,1,115.6862258,,,,,,0.285,,5776.0,0.99,0.97,2016-05-10,Kepler,2016-05-10
1648,Kepler-1295,b,Kepler-1295 b,Transit,1,3.81371974,,,,,,0.138,,5486.0,0.92,0.89,2016-05-10,Kepler,2016-05-10
1649,Kepler-1296,b,Kepler-1296 b,Transit,1,8.3839865,,,,,,0.081,,5359.0,0.87,0.83,2016-05-10,Kepler,2016-05-10
1650,Kepler-1297,b,Kepler-1297 b,Transit,1,1.68189002,,,,,,0.087,,5818.0,0.99,0.99,2016-05-10,Kepler,2016-05-10
1651,Kepler-1298,b,Kepler-1298 b,Transit,1,7.12811928,,,,,,0.11699999999999999,,6339.0,1.45,2.0,2016-05-10,Kepler,2016-05-10
1652,Kepler-1299,b,Kepler-1299 b,Transit,1,19.9400874,,,,,,0.266,,5609.0,0.94,0.91,2016-05-10,Kepler,2016-05-10
1653,Kepler-130,b,Kepler-130 b,Transit,3,8.457458,0.079,,,,,0.091,,5884.0,,1.13,2014-05-14,Kepler,2014-05-14
1654,Kepler-130,c,Kepler-130 c,Transit,3,27.50868,0.178,0.0,89.34,,,0.259,,5884.0,,1.13,2014-05-14,Kepler,2014-05-14
1655,Kepler-130,d,Kepler-130 d,Transit,3,87.517905,0.377,,,,,0.146,,5884.0,,1.13,2014-05-14,Kepler,2014-05-14
1656,Kepler-1300,b,Kepler-1300 b,Transit,1,22.2419092,,,,,,0.122,,6130.0,1.29,1.79,2016-05-10,Kepler,2016-05-10
1657,Kepler-1301,b,Kepler-1301 b,Transit,1,9.08237046,,,,,,0.125,,5188.0,0.85,0.81,2016-05-10,Kepler,2016-05-10
1658,Kepler-1302,b,Kepler-1302 b,Transit,1,8.83922659,,,,,,0.128,,5236.0,0.86,0.82,2016-05-10,Kepler,2016-05-10
1659,Kepler-1303,b,Kepler-1303 b,Transit,1,7.56127224,,,,,,0.127,,5771.0,1.01,1.0,2016-05-10,Kepler,2016-05-10
1660,Kepler-1304,b,Kepler-1304 b,Transit,1,16.1288853,,,,,,0.204,,5259.0,0.85,0.81,2016-05-10,Kepler,2016-05-10
1661,Kepler-1305,b,Kepler-1305 b,Transit,1,13.5630972,,,,,,0.168,,5701.0,0.97,0.96,2016-05-10,Kepler,2016-05-10
1662,Kepler-1306,b,Kepler-1306 b,Transit,1,16.29595382,,,,,,0.17,,5727.0,0.98,0.97,2016-05-10,Kepler,2016-05-10
1663,Kepler-1307,b,Kepler-1307 b,Transit,1,18.01621096,,,,,,0.22,,5884.0,1.06,1.08,2016-05-10,Kepler,2016-05-10
1664,Kepler-1308,b,Kepler-1308 b,Transit,1,2.10433812,,,,,,0.046,,3468.0,0.35,0.34,2016-05-10,Kepler,2016-05-10
1665,Kepler-1309,b,Kepler-1309 b,Transit,1,28.8432647,,,,,,0.21100000000000002,,5235.0,0.85,0.8,2016-05-10,Kepler,2016-05-10
1666,Kepler-131,b,Kepler-131 b,Transit,2,16.092,,,,0.051,Mass,0.215,6.0,5685.0,1.02,1.03,2014-05-14,Kepler,2014-05-14
1667,Kepler-131,c,Kepler-131 c,Transit,2,25.5169,,,,0.026,Mass,0.075,77.7,5685.0,1.02,1.03,2014-05-14,Kepler,2014-05-14
1668,Kepler-1310,b,Kepler-1310 b,Transit,1,0.67933627,,,,,,0.128,,5549.0,0.91,0.88,2016-05-10,Kepler,2016-05-10
1669,Kepler-1311,b,Kepler-1311 b,Transit,2,11.1726994,,,,,,0.111,,5748.0,1.05,1.4,2016-05-10,Kepler,2016-05-10
1670,Kepler-1311,c,Kepler-1311 c,Transit,2,2.53573424,,,,,,0.109,,5748.0,1.05,1.4,2016-05-10,Kepler,2016-05-10
1671,Kepler-1312,b,Kepler-1312 b,Transit,1,5.44832529,,,,,,0.187,,5719.0,0.99,0.92,2016-05-10,Kepler,2016-05-10
1672,Kepler-1313,b,Kepler-1313 b,Transit,1,3.83309118,,,,,,0.157,,5453.0,0.92,0.85,2016-05-10,Kepler,2016-05-10
1673,Kepler-1314,b,Kepler-1314 b,Transit,1,5.42474928,,,,,,0.456,,4188.0,0.6,0.59,2016-05-10,Kepler,2016-05-10
1674,Kepler-1315,b,Kepler-1315 b,Transit,1,0.84338011,,,,,,0.12300000000000001,,4861.0,0.8,0.75,2016-05-10,Kepler,2016-05-10
1675,Kepler-1316,b,Kepler-1316 b,Transit,1,87.9732136,,,,,,0.316,,5884.0,1.04,1.12,2016-05-10,Kepler,2016-05-10
1676,Kepler-1317,b,Kepler-1317 b,Transit,1,0.56887443,,,,,,0.139,,5144.0,0.83,0.79,2016-05-10,Kepler,2016-05-10
1677,Kepler-1318,b,Kepler-1318 b,Transit,1,213.257663,,,,,,0.27699999999999997,,4598.0,0.73,0.7,2016-05-10,Kepler,2016-05-10
1678,Kepler-1319,b,Kepler-1319 b,Transit,1,2.88676265,,,,,,0.12,,3655.0,0.56,0.54,2016-05-10,Kepler,2016-05-10
1679,Kepler-132,b,Kepler-132 b,Transit,4,6.178196,0.067,,,,,0.10800000000000001,,6003.0,,1.18,2014-05-14,Kepler,2014-05-14
1680,Kepler-132,c,Kepler-132 c,Transit,4,6.414914,0.068,,,,,0.114,,6003.0,,1.18,2014-05-14,Kepler,2014-05-14
1681,Kepler-132,d,Kepler-132 d,Transit,4,18.010199,0.136,,,,,0.138,,6003.0,,1.18,2014-05-14,Kepler,2014-05-14
1682,Kepler-132,e,Kepler-132 e,Transit,4,110.2869374,,,,,,0.105,,6003.0,,1.18,2016-05-10,Kepler,2016-05-10
1683,Kepler-1320,b,Kepler-1320 b,Transit,1,0.86838653,,,,,,0.152,,4817.0,0.8,0.74,2016-05-10,Kepler,2016-05-10
1684,Kepler-1321,b,Kepler-1321 b,Transit,2,11.12830484,,,,,,0.439,,4094.0,0.54,0.53,2016-05-10,Kepler,2016-05-10
1685,Kepler-1321,c,Kepler-1321 c,Transit,2,2.22649109,,,,,,0.214,,4094.0,0.54,0.53,2016-05-10,Kepler,2016-05-10
1686,Kepler-1322,b,Kepler-1322 b,Transit,1,0.96286738,,,,,,0.14400000000000002,,5488.0,0.9,0.87,2016-05-10,Kepler,2016-05-10
1687,Kepler-1323,b,Kepler-1323 b,Transit,1,0.92990668,,,,,,0.136,,6169.0,1.18,1.4,2016-05-10,Kepler,2016-05-10
1688,Kepler-1324,b,Kepler-1324 b,Transit,1,4.11584468,,,,,,0.135,,4776.0,0.78,0.73,2016-05-10,Kepler,2016-05-10
1689,Kepler-1325,b,Kepler-1325 b,Transit,1,33.8786838,,,,,,0.255,,5550.0,0.93,0.91,2016-05-10,Kepler,2016-05-10
1690,Kepler-1326,b,Kepler-1326 b,Transit,1,42.3514267,,,,,,0.373,,6725.0,1.45,1.74,2016-05-10,Kepler,2016-05-10
1691,Kepler-1327,b,Kepler-1327 b,Transit,1,14.88801098,,,,,,0.161,,5885.0,1.02,1.03,2016-05-10,Kepler,2016-05-10
1692,Kepler-1328,b,Kepler-1328 b,Transit,1,4.52158888,,,,,,0.087,,5780.0,1.0,0.99,2016-05-10,Kepler,2016-05-10
1693,Kepler-1329,b,Kepler-1329 b,Transit,1,9.33646594,,,,,,0.19399999999999998,,4500.0,0.72,0.69,2016-05-10,Kepler,2016-05-10
1694,Kepler-133,b,Kepler-133 b,Transit,2,8.129976,0.083,,,,,0.157,,5736.0,,1.43,2014-05-14,Kepler,2014-05-14
1695,Kepler-133,c,Kepler-133 c,Transit,2,31.517586,0.204,,,,,0.253,,5736.0,,1.43,2014-05-14,Kepler,2014-05-14
1696,Kepler-1330,b,Kepler-1330 b,Transit,1,10.10769068,,,,,,0.147,,5608.0,0.97,0.94,2016-05-10,Kepler,2016-05-10
1697,Kepler-1331,b,Kepler-1331 b,Transit,1,0.78916165,,,,,,0.094,,4508.0,0.72,0.69,2016-05-10,Kepler,2016-05-10
1698,Kepler-1332,b,Kepler-1332 b,Transit,1,11.87456832,,,,,,0.122,,5581.0,0.95,0.9,2016-05-10,Kepler,2016-05-10
1699,Kepler-1333,b,Kepler-1333 b,Transit,1,109.6471842,,,,,,0.251,,5628.0,0.94,0.92,2016-05-10,Kepler,2016-05-10
1700,Kepler-1334,b,Kepler-1334 b,Transit,1,15.64591713,,,,,,0.204,,5614.0,0.94,0.91,2016-05-10,Kepler,2016-05-10
1701,Kepler-1335,b,Kepler-1335 b,Transit,1,6.26406846,,,,,,0.129,,4903.0,0.77,0.74,2016-05-10,Kepler,2016-05-10
1702,Kepler-1336,b,Kepler-1336 b,Transit,2,23.198681,,,,,,0.177,,5512.0,0.94,1.3,2016-05-10,Kepler,2016-05-10
1703,Kepler-1336,c,Kepler-1336 c,Transit,2,5.77721211,,,,,,0.153,,5512.0,0.94,1.3,2016-05-10,Kepler,2016-05-10
1704,Kepler-1337,b,Kepler-1337 b,Transit,1,24.4002549,,,,,,0.215,,4523.0,0.7,0.67,2016-05-10,Kepler,2016-05-10
1705,Kepler-1338,b,Kepler-1338 b,Transit,1,0.93511806,,,,,,0.08199999999999999,,5909.0,1.04,1.05,2016-05-10,Kepler,2016-05-10
1706,Kepler-1339,b,Kepler-1339 b,Transit,1,1.34155513,,,,,,0.063,,5586.0,0.94,0.93,2016-05-10,Kepler,2016-05-10
1707,Kepler-134,b,Kepler-134 b,Transit,2,5.317429,0.06,,,,,0.17800000000000002,,5983.0,,1.18,2014-05-14,Kepler,2014-05-14
1708,Kepler-134,c,Kepler-134 c,Transit,2,10.105785,0.092,,,,,0.11199999999999999,,5983.0,,1.18,2014-05-14,Kepler,2014-05-14
1709,Kepler-1340,b,Kepler-1340 b,Transit,1,0.66502692,,,,,,0.138,,6331.0,1.27,1.42,2016-05-10,Kepler,2016-05-10
1710,Kepler-1341,b,Kepler-1341 b,Transit,1,132.9968322,,,,,,0.267,,4662.0,0.79,0.72,2016-05-10,Kepler,2016-05-10
1711,Kepler-1342,b,Kepler-1342 b,Transit,1,2.21571036,,,,,,0.14800000000000002,,5527.0,0.93,0.9,2016-05-10,Kepler,2016-05-10
1712,Kepler-1343,b,Kepler-1343 b,Transit,1,3.35183158,,,,,,0.172,,5759.0,0.95,0.93,2016-05-10,Kepler,2016-05-10
1713,Kepler-1344,b,Kepler-1344 b,Transit,1,4.7683049,,,,,,0.16399999999999998,,5981.0,1.09,1.13,2016-05-10,Kepler,2016-05-10
1714,Kepler-1345,b,Kepler-1345 b,Transit,1,44.6169557,,,,,,0.21100000000000002,,6449.0,1.32,1.55,2016-05-10,Kepler,2016-05-10
1715,Kepler-1346,b,Kepler-1346 b,Transit,1,3.40165668,,,,,,0.141,,6133.0,1.14,1.21,2016-05-10,Kepler,2016-05-10
1716,Kepler-1347,b,Kepler-1347 b,Transit,1,14.00947528,,,,,,0.092,,5193.0,0.82,0.79,2016-05-10,Kepler,2016-05-10
1717,Kepler-1348,b,Kepler-1348 b,Transit,1,27.5722742,,,,,,0.17300000000000001,,5911.0,1.04,1.04,2016-05-10,Kepler,2016-05-10
1718,Kepler-1349,b,Kepler-1349 b,Transit,1,2.12823928,,,,,,0.062,,6086.0,1.16,1.28,2016-05-10,Kepler,2016-05-10
1719,Kepler-135,b,Kepler-135 b,Transit,2,6.00253,0.067,,,,,0.161,,6090.0,,1.27,2014-05-14,Kepler,2014-05-14
1720,Kepler-135,c,Kepler-135 c,Transit,2,11.448708,0.103,,,,,0.10300000000000001,,6090.0,,1.27,2014-05-14,Kepler,2014-05-14
1721,Kepler-1350,b,Kepler-1350 b,Transit,2,4.4968604,,,,,,0.225,,3827.0,0.55,0.53,2016-05-10,Kepler,2016-05-10
1722,Kepler-1350,c,Kepler-1350 c,Transit,2,1.76678906,,,,,,0.154,,3827.0,0.55,0.53,2016-05-10,Kepler,2016-05-10
1723,Kepler-1351,b,Kepler-1351 b,Transit,1,0.91614077,,,,,,0.057999999999999996,,4439.0,0.7,0.67,2016-05-10,Kepler,2016-05-10
1724,Kepler-1352,b,Kepler-1352 b,Transit,1,1.87788275,,,,,,0.079,,6118.0,1.11,1.16,2016-05-10,Kepler,2016-05-10
1725,Kepler-1353,b,Kepler-1353 b,Transit,1,24.7543966,,,,,,0.161,,4776.0,0.76,0.72,2016-05-10,Kepler,2016-05-10
1726,Kepler-1354,b,Kepler-1354 b,Transit,1,76.613377,,,,,,0.265,,6168.0,1.16,1.24,2016-05-10,Kepler,2016-05-10
1727,Kepler-1355,b,Kepler-1355 b,Transit,1,1.28958811,,,,,,0.13,,5352.0,0.88,0.83,2016-05-10,Kepler,2016-05-10
1728,Kepler-1356,b,Kepler-1356 b,Transit,1,0.63400294,,,,,,0.136,,5106.0,0.82,0.78,2016-05-10,Kepler,2016-05-10
1729,Kepler-1357,b,Kepler-1357 b,Transit,1,3.0091324,,,,,,0.114,,5597.0,0.93,0.9,2016-05-10,Kepler,2016-05-10
1730,Kepler-1358,b,Kepler-1358 b,Transit,1,7.06317341,,,,,,0.1,,5181.0,0.82,0.79,2016-05-10,Kepler,2016-05-10
1731,Kepler-1359,b,Kepler-1359 b,Transit,1,59.4970952,,,,,,0.252,,4709.0,0.78,0.72,2016-05-10,Kepler,2016-05-10
1732,Kepler-136,b,Kepler-136 b,Transit,2,11.5789,0.106,,,,,0.183,,6165.0,,1.35,2014-05-14,Kepler,2014-05-14
1733,Kepler-136,c,Kepler-136 c,Transit,2,16.399235,0.133,,,,,0.17800000000000002,,6165.0,,1.35,2014-05-14,Kepler,2014-05-14
1734,Kepler-1360,b,Kepler-1360 b,Transit,1,40.5286413,,,,,,0.303,,6778.0,1.51,1.83,2016-05-10,Kepler,2016-05-10
1735,Kepler-1361,b,Kepler-1361 b,Transit,1,3.57554956,,,,,,0.077,,5131.0,0.83,0.79,2016-05-10,Kepler,2016-05-10
1736,Kepler-1362,b,Kepler-1362 b,Transit,1,136.205626,,,,,,0.23199999999999998,,4857.0,0.8,0.74,2016-05-10,Kepler,2016-05-10
1737,Kepler-1363,b,Kepler-1363 b,Transit,1,2.94194094,,,,,,0.11199999999999999,,4839.0,0.76,0.72,2016-05-10,Kepler,2016-05-10
1738,Kepler-1364,b,Kepler-1364 b,Transit,1,13.32196237,,,,,,0.192,,6805.0,1.49,1.79,2016-05-10,Kepler,2016-05-10
1739,Kepler-1365,b,Kepler-1365 b,Transit,2,7.69993485,,,,,,0.08199999999999999,,5770.0,1.0,1.05,2016-05-10,Kepler,2016-05-10
1740,Kepler-1365,c,Kepler-1365 c,Transit,2,4.77468005,,,,,,0.071,,5770.0,1.0,1.05,2016-05-10,Kepler,2016-05-10
1741,Kepler-1366,b,Kepler-1366 b,Transit,1,2.16457097,,,,,,0.128,,4070.0,0.62,0.6,2016-05-10,Kepler,2016-05-10
1742,Kepler-1367,b,Kepler-1367 b,Transit,1,1.57409027,,,,,,0.08199999999999999,,4106.0,0.62,0.6,2016-05-10,Kepler,2016-05-10
1743,Kepler-1368,b,Kepler-1368 b,Transit,1,0.67564949,,,,,,0.147,,5906.0,1.07,1.08,2016-05-10,Kepler,2016-05-10
1744,Kepler-1369,b,Kepler-1369 b,Transit,1,25.873148,,,,,,0.24,,5761.0,0.99,0.99,2016-05-10,Kepler,2016-05-10
1745,Kepler-137,b,Kepler-137 b,Transit,2,8.436387,0.077,,,,,0.131,,5187.0,,0.8,2014-05-14,Kepler,2014-05-14
1746,Kepler-137,c,Kepler-137 c,Transit,2,18.735753,0.13,,,,,0.168,,5187.0,,0.8,2014-05-14,Kepler,2014-05-14
1747,Kepler-1370,b,Kepler-1370 b,Transit,2,20.2641684,,,,,,0.16399999999999998,,6202.0,1.19,1.29,2016-05-10,Kepler,2016-05-10
1748,Kepler-1370,c,Kepler-1370 c,Transit,2,7.44142113,,,,,,0.113,,6202.0,1.19,1.29,2016-05-10,Kepler,2016-05-10
1749,Kepler-1371,b,Kepler-1371 b,Transit,2,3.4462039,,,,,,0.065,,5361.0,0.87,0.83,2016-05-10,Kepler,2016-05-10
1750,Kepler-1371,c,Kepler-1371 c,Transit,2,2.00541269,,,,,,0.057,,5361.0,0.87,0.83,2016-05-10,Kepler,2016-05-10
1751,Kepler-1372,b,Kepler-1372 b,Transit,1,1.31155557,,,,,,0.113,,5677.0,0.98,0.97,2016-05-10,Kepler,2016-05-10
1752,Kepler-1373,b,Kepler-1373 b,Transit,1,1.29123275,,,,,,0.10300000000000001,,6299.0,1.22,1.33,2016-05-10,Kepler,2016-05-10
1753,Kepler-1374,b,Kepler-1374 b,Transit,1,10.65276707,,,,,,0.204,,5323.0,0.85,0.81,2016-05-10,Kepler,2016-05-10
1754,Kepler-1375,b,Kepler-1375 b,Transit,1,3.3004192,,,,,,0.155,,6704.0,1.47,1.78,2016-05-10,Kepler,2016-05-10
1755,Kepler-1376,b,Kepler-1376 b,Transit,1,5.30880656,,,,,,0.094,,5659.0,0.98,0.97,2016-05-10,Kepler,2016-05-10
1756,Kepler-1377,b,Kepler-1377 b,Transit,1,0.74092842,,,,,,0.11199999999999999,,5218.0,0.86,0.82,2016-05-10,Kepler,2016-05-10
1757,Kepler-1378,b,Kepler-1378 b,Transit,1,11.95398936,,,,,,0.196,,4407.0,0.7,0.67,2016-05-10,Kepler,2016-05-10
1758,Kepler-1379,b,Kepler-1379 b,Transit,1,0.88184115,,,,,,0.11599999999999999,,5188.0,0.83,0.79,2016-05-10,Kepler,2016-05-10
1759,Kepler-138,b,Kepler-138 b,Transit,3,10.3126,,,,0.00021,Mass,0.047,2.6,3841.0,0.52,0.44,2015-06-17,Kepler,2015-06-17
1760,Kepler-138,c,Kepler-138 c,Transit,3,13.7813,,,,0.0062,Mass,0.107,6.2,3841.0,0.52,0.44,2015-06-17,Kepler,2015-06-17
1761,Kepler-138,d,Kepler-138 d,Transit,3,23.0881,,,,0.00201,Mass,0.10800000000000001,2.1,3841.0,0.52,0.44,2015-06-17,Kepler,2015-06-17
1762,Kepler-1380,b,Kepler-1380 b,Transit,1,10.3108245,,,,,,0.128,,5570.0,0.96,0.94,2016-05-10,Kepler,2016-05-10
1763,Kepler-1381,b,Kepler-1381 b,Transit,1,25.3842686,,,,,,0.201,,5747.0,0.96,0.94,2016-05-10,Kepler,2016-05-10
1764,Kepler-1382,b,Kepler-1382 b,Transit,1,16.3583055,,,,,,0.168,,6161.0,1.36,1.72,2016-05-10,Kepler,2016-05-10
1765,Kepler-1383,b,Kepler-1383 b,Transit,1,13.9093583,,,,,,0.126,,6370.0,1.26,1.44,2016-05-10,Kepler,2016-05-10
1766,Kepler-1384,b,Kepler-1384 b,Transit,1,15.36262753,,,,,,0.17300000000000001,,4919.0,0.78,0.74,2016-05-10,Kepler,2016-05-10
1767,Kepler-1385,b,Kepler-1385 b,Transit,1,2.88879862,,,,,,0.076,,5732.0,1.15,1.29,2016-05-10,Kepler,2016-05-10
1768,Kepler-1386,b,Kepler-1386 b,Transit,1,6.73972381,,,,,,0.111,,5733.0,1.02,1.03,2016-05-10,Kepler,2016-05-10
1769,Kepler-1387,b,Kepler-1387 b,Transit,1,2.27952666,,,,,,0.083,,5046.0,0.82,0.77,2016-05-10,Kepler,2016-05-10
1770,Kepler-1388,b,Kepler-1388 b,Transit,4,12.2854603,,,,,,0.231,,4098.0,0.63,0.61,2016-05-10,Kepler,2016-05-10
1771,Kepler-1388,c,Kepler-1388 c,Transit,4,5.53608151,,,,,,0.20199999999999999,,4098.0,0.63,0.61,2016-05-10,Kepler,2016-05-10
1772,Kepler-1388,d,Kepler-1388 d,Transit,4,20.9568158,,,,,,0.255,,4098.0,0.63,0.61,2016-05-10,Kepler,2016-05-10
1773,Kepler-1388,e,Kepler-1388 e,Transit,4,37.6327084,,,,,,0.21899999999999997,,4098.0,0.63,0.61,2016-05-10,Kepler,2016-05-10
1774,Kepler-1389,b,Kepler-1389 b,Transit,1,99.2530951,,,,,,0.158,,5078.0,0.81,0.74,2016-05-10,Kepler,2016-05-10
1775,Kepler-139,b,Kepler-139 b,Transit,2,15.771044,0.127,,,,,0.262,,5594.0,,1.3,2014-05-14,Kepler,2014-05-14
1776,Kepler-139,c,Kepler-139 c,Transit,2,157.072878,0.586,,,,,0.302,,5594.0,,1.3,2014-05-14,Kepler,2014-05-14
1777,Kepler-1390,b,Kepler-1390 b,Transit,1,6.48021673,,,,,,0.105,,5753.0,0.98,0.98,2016-05-10,Kepler,2016-05-10
1778,Kepler-1391,b,Kepler-1391 b,Transit,1,54.4092333,,,,,,0.15,,5840.0,1.03,1.1,2016-05-10,Kepler,2016-05-10
1779,Kepler-1392,b,Kepler-1392 b,Transit,1,15.1410397,,,,,,0.175,,5479.0,0.88,0.85,2016-05-10,Kepler,2016-05-10
1780,Kepler-1393,b,Kepler-1393 b,Transit,1,2.44357812,,,,,,0.071,,5697.0,0.95,0.92,2016-05-10,Kepler,2016-05-10
1781,Kepler-1394,b,Kepler-1394 b,Transit,1,3.93766373,,,,,,0.124,,6481.0,1.64,2.55,2016-05-10,Kepler,2016-05-10
1782,Kepler-1395,b,Kepler-1395 b,Transit,1,3.78470649,,,,,,0.071,,6138.0,1.17,1.23,2016-05-10,Kepler,2016-05-10
1783,Kepler-1396,b,Kepler-1396 b,Transit,1,18.2206421,,,,,,0.185,,6195.0,1.18,1.27,2016-05-10,Kepler,2016-05-10
1784,Kepler-1397,b,Kepler-1397 b,Transit,1,47.449955,,,,,,0.153,,6026.0,1.09,1.12,2016-05-10,Kepler,2016-05-10
1785,Kepler-1398,b,Kepler-1398 b,Transit,2,2.78815679,,,,,,0.08,,6126.0,1.13,1.18,2016-05-10,Kepler,2016-05-10
1786,Kepler-1398,c,Kepler-1398 c,Transit,2,4.13827595,,,,,,0.092,,6126.0,1.13,1.18,2016-05-10,Kepler,2016-05-10
1787,Kepler-1399,b,Kepler-1399 b,Transit,1,1.63865306,,,,,,0.11199999999999999,,5735.0,0.97,0.96,2016-05-10,Kepler,2016-05-10
1788,Kepler-14,b,Kepler-14 b,Transit,1,6.790123,,0.035,90.0,8.4,Mass,1.136,7.1,6395.0,1.51,2.05,2014-05-14,Kepler,2014-05-14
1789,Kepler-140,b,Kepler-140 b,Transit,2,3.25427,0.045,,,,,0.14400000000000002,,6077.0,,1.29,2014-05-14,Kepler,2014-05-14
1790,Kepler-140,c,Kepler-140 c,Transit,2,91.353282,0.414,,,,,0.161,,6077.0,,1.29,2014-05-14,Kepler,2014-05-14
1791,Kepler-1400,b,Kepler-1400 b,Transit,1,9.06689421,,,,,,0.145,,5044.0,0.83,0.78,2016-05-10,Kepler,2016-05-10
1792,Kepler-1401,b,Kepler-1401 b,Transit,1,11.20066445,,,,,,0.15,,5964.0,1.07,1.1,2016-05-10,Kepler,2016-05-10
1793,Kepler-1402,b,Kepler-1402 b,Transit,1,2.03387914,,,,,,0.068,,5416.0,0.9,0.87,2016-05-10,Kepler,2016-05-10
1794,Kepler-1403,b,Kepler-1403 b,Transit,1,5.19492202,,,,,,0.191,,6060.0,1.11,1.15,2016-05-10,Kepler,2016-05-10
1795,Kepler-1404,b,Kepler-1404 b,Transit,1,15.9314739,,,,,,0.179,,5261.0,0.84,0.8,2016-05-10,Kepler,2016-05-10
1796,Kepler-1405,b,Kepler-1405 b,Transit,1,28.2274184,,,,,,0.353,,5925.0,1.05,1.07,2016-05-10,Kepler,2016-05-10
1797,Kepler-1406,b,Kepler-1406 b,Transit,1,11.62905828,,,,,,0.098,,5892.0,1.05,1.12,2016-05-10,Kepler,2016-05-10
1798,Kepler-1407,b,Kepler-1407 b,Transit,1,20.0711504,,,,,,0.201,,6010.0,1.1,1.15,2016-05-10,Kepler,2016-05-10
1799,Kepler-1408,b,Kepler-1408 b,Transit,1,2.99793191,,,,,,0.079,,6170.0,1.21,1.35,2016-05-10,Kepler,2016-05-10
1800,Kepler-1409,b,Kepler-1409 b,Transit,1,0.76486493,,,,,,0.09300000000000001,,5160.0,0.83,0.79,2016-05-10,Kepler,2016-05-10
1801,Kepler-141,b,Kepler-141 b,Transit,2,3.107675,0.039,,,,,0.062,,4910.0,,0.79,2014-05-14,Kepler,2014-05-14
1802,Kepler-141,c,Kepler-141 c,Transit,2,7.010606,0.067,,,,,0.126,,4910.0,,0.79,2014-05-14,Kepler,2014-05-14
1803,Kepler-1410,b,Kepler-1410 b,Transit,1,60.866168,,,,,,0.159,,4092.0,0.63,0.6,2016-05-10,Kepler,2016-05-10
1804,Kepler-1411,b,Kepler-1411 b,Transit,1,86.1150888,,,,,,0.252,,5664.0,0.95,0.92,2016-05-10,Kepler,2016-05-10
1805,Kepler-1412,b,Kepler-1412 b,Transit,1,3.6146051,,,,,,0.07400000000000001,,5880.0,1.06,1.27,2016-05-10,Kepler,2016-05-10
1806,Kepler-1413,b,Kepler-1413 b,Transit,1,13.1829642,,,,,,0.162,,5196.0,0.84,0.8,2016-05-10,Kepler,2016-05-10
1807,Kepler-1414,b,Kepler-1414 b,Transit,1,3.51576315,,,,,,0.11,,4951.0,0.8,0.75,2016-05-10,Kepler,2016-05-10
1808,Kepler-1415,b,Kepler-1415 b,Transit,1,0.63642408,,,,,,0.115,,5267.0,0.89,0.84,2016-05-10,Kepler,2016-05-10
1809,Kepler-1416,b,Kepler-1416 b,Transit,1,1.49514952,,,,,,0.079,,6019.0,1.09,1.15,2016-05-10,Kepler,2016-05-10
1810,Kepler-1417,b,Kepler-1417 b,Transit,1,20.3505213,,,,,,0.08900000000000001,,5839.0,1.02,1.02,2016-05-10,Kepler,2016-05-10
1811,Kepler-1418,b,Kepler-1418 b,Transit,1,22.4764425,,,,,,0.14800000000000002,,4770.0,0.77,0.72,2016-05-10,Kepler,2016-05-10
1812,Kepler-1419,b,Kepler-1419 b,Transit,1,42.5215895,,,,,,0.255,,5796.0,1.01,1.01,2016-05-10,Kepler,2016-05-10
1813,Kepler-142,b,Kepler-142 b,Transit,3,2.024152,0.032,,,,,0.17800000000000002,,5790.0,,1.27,2014-05-14,Kepler,2014-05-14
1814,Kepler-142,c,Kepler-142 c,Transit,3,4.761702,0.057,,,,,0.255,,5790.0,,1.27,2014-05-14,Kepler,2014-05-14
1815,Kepler-142,d,Kepler-142 d,Transit,3,41.809118,0.242,,,,,0.193,,5790.0,,1.27,2014-05-14,Kepler,2014-05-14
1816,Kepler-1420,b,Kepler-1420 b,Transit,1,6.69960006,,,,,,0.114,,5187.0,0.82,0.79,2016-05-10,Kepler,2016-05-10
1817,Kepler-1421,b,Kepler-1421 b,Transit,1,6.9131112,,,,,,0.083,,6335.0,1.25,1.42,2016-05-10,Kepler,2016-05-10
1818,Kepler-1422,b,Kepler-1422 b,Transit,1,18.6051942,,,,,,0.18,,6194.0,1.15,1.23,2016-05-10,Kepler,2016-05-10
1819,Kepler-1423,b,Kepler-1423 b,Transit,1,23.955378,,,,,,0.095,,4939.0,0.79,0.75,2016-05-10,Kepler,2016-05-10
1820,Kepler-1424,b,Kepler-1424 b,Transit,1,29.6091744,,,,,,0.10300000000000001,,5838.0,1.02,1.07,2016-05-10,Kepler,2016-05-10
