Month,Time,Location,Pollutant,Concentration (ug/m3)
Jan-2008,20:00,Roadside,Nitric Oxide,
Jan-2008,20:00,Roadside,Nitrogen Dioxide,62.25806452
Jan-2008,20:00,Roadside,Oxides of Nitrogen,
Jan-2008,20:00,Roadside,Ozone,25.77419355
Jan-2008,20:00,Roadside,PM10 Particulates,28.5483871
Jan-2008,20:00,Roadside,PM2.5 Particulates,16.67741935
Jan-2008,20:00,Roadside,Sulphur Dioxide,4.935483871
Jan-2008,20:00,Background,Nitric Oxide,
Jan-2008,20:00,Background,Nitrogen Dioxide,51.48387097
Jan-2008,20:00,Background,Oxides of Nitrogen,
Jan-2008,20:00,Background,Ozone,32.5483871
Jan-2008,20:00,Background,PM10 Particulates,22.61290323
Jan-2008,20:00,Background,PM2.5 Particulates,.
Jan-2008,20:00,Background,Sulphur Dioxide,4.35483871
Jan-2008,21:00,Roadside,Nitric Oxide,
Jan-2008,21:00,Roadside,Nitrogen Dioxide,55.87096774
Jan-2008,21:00,Roadside,Oxides of Nitrogen,
Jan-2008,21:00,Roadside,Ozone,28.29032258
Jan-2008,21:00,Roadside,PM10 Particulates,26.12903226
Jan-2008,21:00,Roadside,PM2.5 Particulates,15.5483871
Jan-2008,21:00,Roadside,Sulphur Dioxide,4.677419355
Jan-2008,21:00,Background,Nitric Oxide,
Jan-2008,21:00,Background,Nitrogen Dioxide,47.48387097
Jan-2008,21:00,Background,Oxides of Nitrogen,
Jan-2008,21:00,Background,Ozone,34.35483871
Jan-2008,21:00,Background,PM10 Particulates,21.35483871
Jan-2008,21:00,Background,PM2.5 Particulates,.
Jan-2008,21:00,Background,Sulphur Dioxide,4.35483871
Jan-2008,22:00,Roadside,Nitric Oxide,
Jan-2008,22:00,Roadside,Nitrogen Dioxide,51.41935484
Jan-2008,22:00,Roadside,Oxides of Nitrogen,
Jan-2008,22:00,Roadside,Ozone,30.48387097
Jan-2008,22:00,Roadside,PM10 Particulates,24.35483871
Jan-2008,22:00,Roadside,PM2.5 Particulates,15.03225806
Jan-2008,22:00,Roadside,Sulphur Dioxide,4
Jan-2008,22:00,Background,Nitric Oxide,
Jan-2008,22:00,Background,Nitrogen Dioxide,44.03225806
Jan-2008,22:00,Background,Oxides of Nitrogen,
Jan-2008,22:00,Background,Ozone,36.4516129
Jan-2008,22:00,Background,PM10 Particulates,19.96774194
Jan-2008,22:00,Background,PM2.5 Particulates,.
Jan-2008,22:00,Background,Sulphur Dioxide,4.290322581
Jan-2008,23:00,Roadside,Nitric Oxide,
Jan-2008,23:00,Roadside,Nitrogen Dioxide,45.83870968
Jan-2008,23:00,Roadside,Oxides of Nitrogen,
Jan-2008,23:00,Roadside,Ozone,33.77419355
Jan-2008,23:00,Roadside,PM10 Particulates,23.12903226
Jan-2008,23:00,Roadside,PM2.5 Particulates,14.19354839
Jan-2008,23:00,Roadside,Sulphur Dioxide,3.548387097
Jan-2008,23:00,Background,Nitric Oxide,
Jan-2008,23:00,Background,Nitrogen Dioxide,38.5483871
Jan-2008,23:00,Background,Oxides of Nitrogen,
Jan-2008,23:00,Background,Ozone,40
Jan-2008,23:00,Background,PM10 Particulates,19.19354839
Jan-2008,23:00,Background,PM2.5 Particulates,.
Jan-2008,23:00,Background,Sulphur Dioxide,3.774193548
Feb-2008,00:00,Roadside,Nitric Oxide,
Feb-2008,00:00,Roadside,Nitrogen Dioxide,68.24137931
Feb-2008,00:00,Roadside,Oxides of Nitrogen,
Feb-2008,00:00,Roadside,Ozone,20.31034483
Feb-2008,00:00,Roadside,PM10 Particulates,34.62068966
Feb-2008,00:00,Roadside,PM2.5 Particulates,27.37931034
Feb-2008,00:00,Roadside,Sulphur Dioxide,5.586206897
Feb-2008,00:00,Background,Nitric Oxide,
Feb-2008,00:00,Background,Nitrogen Dioxide,57.86206897
Feb-2008,00:00,Background,Oxides of Nitrogen,
Feb-2008,00:00,Background,Ozone,25.20689655
Feb-2008,00:00,Background,PM10 Particulates,30.10344828
Feb-2008,00:00,Background,PM2.5 Particulates,.
Feb-2008,00:00,Background,Sulphur Dioxide,5.482758621
Feb-2008,01:00,Roadside,Nitric Oxide,
Feb-2008,01:00,Roadside,Nitrogen Dioxide,60.65517241
Feb-2008,01:00,Roadside,Oxides of Nitrogen,
Feb-2008,01:00,Roadside,Ozone,21.10344828
Feb-2008,01:00,Roadside,PM10 Particulates,32.17241379
Feb-2008,01:00,Roadside,PM2.5 Particulates,27.5862069
Feb-2008,01:00,Roadside,Sulphur Dioxide,4.551724138
Feb-2008,01:00,Background,Nitric Oxide,
Feb-2008,01:00,Background,Nitrogen Dioxide,53.86206897
Feb-2008,01:00,Background,Oxides of Nitrogen,
Feb-2008,01:00,Background,Ozone,26.62068966
Feb-2008,01:00,Background,PM10 Particulates,28.5862069
Feb-2008,01:00,Background,PM2.5 Particulates,.
Feb-2008,01:00,Background,Sulphur Dioxide,5.24137931
Feb-2008,02:00,Roadside,Nitric Oxide,
Feb-2008,02:00,Roadside,Nitrogen Dioxide,54
Feb-2008,02:00,Roadside,Oxides of Nitrogen,
Feb-2008,02:00,Roadside,Ozone,23.96551724
Feb-2008,02:00,Roadside,PM10 Particulates,30.48275862
Feb-2008,02:00,Roadside,PM2.5 Particulates,26.06896552
Feb-2008,02:00,Roadside,Sulphur Dioxide,4.068965517
Feb-2008,02:00,Background,Nitric Oxide,
Feb-2008,02:00,Background,Nitrogen Dioxide,48.72413793
Feb-2008,02:00,Background,Oxides of Nitrogen,
Feb-2008,02:00,Background,Ozone,27
Feb-2008,02:00,Background,PM10 Particulates,27.72413793
Feb-2008,02:00,Background,PM2.5 Particulates,.
Feb-2008,02:00,Background,Sulphur Dioxide,5.068965517
Feb-2008,03:00,Roadside,Nitric Oxide,
Feb-2008,03:00,Roadside,Nitrogen Dioxide,50.86206897
Feb-2008,03:00,Roadside,Oxides of Nitrogen,
Feb-2008,03:00,Roadside,Ozone,24.51724138
Feb-2008,03:00,Roadside,PM10 Particulates,29.37931034
Feb-2008,03:00,Roadside,PM2.5 Particulates,25.10344828
Feb-2008,03:00,Roadside,Sulphur Dioxide,4.034482759
Feb-2008,03:00,Background,Nitric Oxide,
Feb-2008,03:00,Background,Nitrogen Dioxide,45.82758621
Feb-2008,03:00,Background,Oxides of Nitrogen,
Feb-2008,03:00,Background,Ozone,27.4137931
Feb-2008,03:00,Background,PM10 Particulates,26.86206897
Feb-2008,03:00,Background,PM2.5 Particulates,.
Feb-2008,03:00,Background,Sulphur Dioxide,5
Feb-2008,04:00,Roadside,Nitric Oxide,
Feb-2008,04:00,Roadside,Nitrogen Dioxide,51.93103448
Feb-2008,04:00,Roadside,Oxides of Nitrogen,
Feb-2008,04:00,Roadside,Ozone,23.44827586
Feb-2008,04:00,Roadside,PM10 Particulates,28.79310345
Feb-2008,04:00,Roadside,PM2.5 Particulates,24.17241379
Feb-2008,04:00,Roadside,Sulphur Dioxide,4.310344828
Feb-2008,04:00,Background,Nitric Oxide,
Feb-2008,04:00,Background,Nitrogen Dioxide,45.62068966
Feb-2008,04:00,Background,Oxides of Nitrogen,
Feb-2008,04:00,Background,Ozone,27.13793103
Feb-2008,04:00,Background,PM10 Particulates,26.17241379
Feb-2008,04:00,Background,PM2.5 Particulates,.
Feb-2008,04:00,Background,Sulphur Dioxide,4.931034483
Feb-2008,05:00,Roadside,Nitric Oxide,
Feb-2008,05:00,Roadside,Nitrogen Dioxide,60.65517241
Feb-2008,05:00,Roadside,Oxides of Nitrogen,
Feb-2008,05:00,Roadside,Ozone,19.5862069
Feb-2008,05:00,Roadside,PM10 Particulates,29.75862069
Feb-2008,05:00,Roadside,PM2.5 Particulates,25.20689655
Feb-2008,05:00,Roadside,Sulphur Dioxide,4.793103448
Feb-2008,05:00,Background,Nitric Oxide,
Feb-2008,05:00,Background,Nitrogen Dioxide,50.17241379
Feb-2008,05:00,Background,Oxides of Nitrogen,
Feb-2008,05:00,Background,Ozone,24.5862069
Feb-2008,05:00,Background,PM10 Particulates,26.34482759
Feb-2008,05:00,Background,PM2.5 Particulates,.
Feb-2008,05:00,Background,Sulphur Dioxide,5.068965517
Feb-2008,06:00,Roadside,Nitric Oxide,
Feb-2008,06:00,Roadside,Nitrogen Dioxide,77.4137931
Feb-2008,06:00,Roadside,Oxides of Nitrogen,
Feb-2008,06:00,Roadside,Ozone,15
Feb-2008,06:00,Roadside,PM10 Particulates,33.5862069
Feb-2008,06:00,Roadside,PM2.5 Particulates,28.5862069
Feb-2008,06:00,Roadside,Sulphur Dioxide,6.275862069
Feb-2008,06:00,Background,Nitric Oxide,
Feb-2008,06:00,Background,Nitrogen Dioxide,60.37931034
Feb-2008,06:00,Background,Oxides of Nitrogen,
Feb-2008,06:00,Background,Ozone,20.17241379
Feb-2008,06:00,Background,PM10 Particulates,28.10344828
Feb-2008,06:00,Background,PM2.5 Particulates,.
Feb-2008,06:00,Background,Sulphur Dioxide,5.413793103
Feb-2008,07:00,Roadside,Nitric Oxide,
Feb-2008,07:00,Roadside,Nitrogen Dioxide,92.27586207
Feb-2008,07:00,Roadside,Oxides of Nitrogen,
Feb-2008,07:00,Roadside,Ozone,12.13793103
Feb-2008,07:00,Roadside,PM10 Particulates,37.82758621
Feb-2008,07:00,Roadside,PM2.5 Particulates,30.65517241
Feb-2008,07:00,Roadside,Sulphur Dioxide,7.827586207
Feb-2008,07:00,Background,Nitric Oxide,
Feb-2008,07:00,Background,Nitrogen Dioxide,71.79310345
Feb-2008,07:00,Background,Oxides of Nitrogen,
Feb-2008,07:00,Background,Ozone,16.72413793
Feb-2008,07:00,Background,PM10 Particulates,30.10344828
Feb-2008,07:00,Background,PM2.5 Particulates,.
Feb-2008,07:00,Background,Sulphur Dioxide,6.586206897
Feb-2008,08:00,Roadside,Nitric Oxide,
Feb-2008,08:00,Roadside,Nitrogen Dioxide,95.55172414
Feb-2008,08:00,Roadside,Oxides of Nitrogen,
Feb-2008,08:00,Roadside,Ozone,12.5862069
Feb-2008,08:00,Roadside,PM10 Particulates,42.17241379
Feb-2008,08:00,Roadside,PM2.5 Particulates,31.72413793
Feb-2008,08:00,Roadside,Sulphur Dioxide,8.689655172
Feb-2008,08:00,Background,Nitric Oxide,
Feb-2008,08:00,Background,Nitrogen Dioxide,74.31034483
Feb-2008,08:00,Background,Oxides of Nitrogen,
Feb-2008,08:00,Background,Ozone,17.10344828
Feb-2008,08:00,Background,PM10 Particulates,33.93103448
Feb-2008,08:00,Background,PM2.5 Particulates,.
Feb-2008,08:00,Background,Sulphur Dioxide,7.655172414
Feb-2008,09:00,Roadside,Nitric Oxide,
Feb-2008,09:00,Roadside,Nitrogen Dioxide,90.86206897
Feb-2008,09:00,Roadside,Oxides of Nitrogen,
Feb-2008,09:00,Roadside,Ozone,15.75862069
Feb-2008,09:00,Roadside,PM10 Particulates,45.72413793
Feb-2008,09:00,Roadside,PM2.5 Particulates,32
Feb-2008,09:00,Roadside,Sulphur Dioxide,9.482758621
Feb-2008,09:00,Background,Nitric Oxide,
Feb-2008,09:00,Background,Nitrogen Dioxide,70.65517241
Feb-2008,09:00,Background,Oxides of Nitrogen,
Feb-2008,09:00,Background,Ozone,21.34482759
Feb-2008,09:00,Background,PM10 Particulates,35.72413793
Feb-2008,09:00,Background,PM2.5 Particulates,.
Feb-2008,09:00,Background,Sulphur Dioxide,8.137931034
Feb-2008,10:00,Roadside,Nitric Oxide,
Feb-2008,10:00,Roadside,Nitrogen Dioxide,84.44827586
Feb-2008,10:00,Roadside,Oxides of Nitrogen,
Feb-2008,10:00,Roadside,Ozone,20
Feb-2008,10:00,Roadside,PM10 Particulates,49.24137931
Feb-2008,10:00,Roadside,PM2.5 Particulates,31.37931034
Feb-2008,10:00,Roadside,Sulphur Dioxide,10.4137931
Feb-2008,10:00,Background,Nitric Oxide,
Feb-2008,10:00,Background,Nitrogen Dioxide,64.37931034
Feb-2008,10:00,Background,Oxides of Nitrogen,
Feb-2008,10:00,Background,Ozone,27.10344828
Feb-2008,10:00,Background,PM10 Particulates,36.82758621
Feb-2008,10:00,Background,PM2.5 Particulates,.
Feb-2008,10:00,Background,Sulphur Dioxide,9
Feb-2008,11:00,Roadside,Nitric Oxide,
Feb-2008,11:00,Roadside,Nitrogen Dioxide,79.10344828
Feb-2008,11:00,Roadside,Oxides of Nitrogen,
