Year,Area,Code,Number of children aged 5 (thousands) (=100%),"Diptheria, Tetanus, Polio: Primary","Diptheria, Tetanus, Polio: Primary and boost",Pertussis:Primary,Hib: Primary,MMR: first dose   ,MMR: first and second dose  ,MenC
2008,5AT,Hillingdon,3.6,89,88,75,83,70,,
2008,5HY,Hounslow,3.4,63,62,53,80,53,,
2008,5K8,Islington,2.1,91,91,46,83,50,,
2008,5LA,Kensington and Chelsea,1.4,86,84,61,79,63,,
2008,5A5,Kingston,1.3,88,91,76,85,77,,
2008,5LD,Lambeth,3.8,88,88,64,83,63,,
2008,5LF,Lewisham,3.7,85,85,51,79,51,,
2008,5C5,Newham,4.4,89,61,70,89,80,,
2008,5NA,Redbridge,3.9,86,88,68,79,66,,
2008,5M6,Richmond and Twickenham,2.4,91,92,74,96,82,,
2008,5LE,Southwark,3.8,81,81,55,77,55,,
2008,5M7,Sutton and Merton,5.2,80,80,69,86,79,,
2008,5C4,Tower Hamlets,3.4,91,89,67,90,79,,
2008,5NC,Waltham Forest,3.4,89,88,66,86,72,,
2008,5LG,Wandsworth,3.5,71,78,59,82,71,,
2008,5LC,Westminster,2.0,84,84,73,94,81,,
2009,5C2,Barking and Dagenham,3.1,81.1,83.3,67.4,79.5,61.6,,
2009,5A9,Barnet,4.7,90.3,74.2,83.7,87.7,81.8,,
2009,TAK,Bexley,2.8,82.4,83.9,65.3,79.3,60.5,,
2009,5K5,Brent Teaching,4.7,88.1,80.5,65.9,86.2,71.6,,
2009,5A7,Bromley,4.0,90.9,88.2,73.1,85.6,70.8,,
2009,5K7,Camden,2.4,85.4,85.4,60.9,78.4,58.1,,
2009,5C3,City and Hackney Teaching,3.5,82.6,82.5,42.7,78.6,49.3,,
2009,5K9,Croydon,4.7,92.1,92.1,80.2,90.0,77.3,,
2009,5HX,Ealing,4.9,92.5,92.5,77.5,91.6,73.6,,
2009,5C1,Enfield,3.8,82.3,82.3,69.8,84.8,72.6,,
2009,5A8,Greenwich,3.9,81.9,85.7,66.3,79.6,66.1,,
2009,5H1,Hammersmith and Fulham,2.3,91.3,91.1,57.7,84.6,58.5,,
2009,5C9,Haringey Teaching,3.4,83.5,83.5,77.0,85.4,82.6,,
2009,5K6,Harrow,2.3,91.6,91.6,74.5,91.7,68.5,,
2009,5A4,Havering,2.9,91.9,92.8,78.5,85.2,72.2,,
2009,5AT,Hillingdon,3.3,93.7,92.5,88.4,90.5,85.4,,
2009,5HY,Hounslow,4.0,87.3,87.3,69.0,86.5,68.0,,
2009,5K8,Islington,2.2,89.9,90.6,65.5,84.2,63.7,,
2009,5LA,Kensington and Chelsea,1.5,93.8,93.8,62.6,88.3,65.3,,
2009,5A5,Kingston,2.3,90.2,92.1,74.9,86.4,78.3,,
2009,5LD,Lambeth,3.9,92.7,93.3,72.9,88.8,72.7,,
2009,5LF,Lewisham,3.9,89.7,90.7,64.2,85.2,61.9,,
2009,5C5,Newham,5.3,85.0,86.9,68.2,79.7,75.0,,
2009,5NA,Redbridge,3.8,85.8,88.4,72.4,83.1,71.3,,
2009,5M6,Richmond and Twickenham,2.6,92.2,92.8,69.7,85.7,74.8,,
2009,5LE,Southwark,3.8,84.8,84.8,69.6,83.6,68.0,,
2009,5M7,Sutton and Merton,5.0,84.9,84.9,73.6,88.5,81.4,,
2009,5C4,Tower Hamlets,3.4,89.5,92.2,82.0,92.4,83.5,,
2009,5NC,Waltham Forest,3.7,90.9,93.0,80.9,88.6,80.0,,
2009,5LG,Wandsworth,3.5,87.8,87.8,71.2,88.5,78.5,,
