Period beginning,Period ending,Days in period,Journey type,Passengers (m),Beginning Month,Beginning Year,Ending Month,Ending Year
2017-05-28,2017-06-24,28,Cycle Hires (m),0.978709,5,2017,6,2017
2017-06-25,2017-07-22,28,Cycle Hires (m),0.924632,6,2017,7,2017
2017-07-23,2017-08-19,28,Cycle Hires (m),0.8739709999999999,7,2017,8,2017
2017-08-20,2017-09-16,28,Cycle Hires (m),0.869605,8,2017,9,2017
2017-09-17,2017-10-14,28,Cycle Hires (m),0.865411,9,2017,10,2017
2017-10-15,2017-11-11,28,Cycle Hires (m),0.820217,10,2017,11,2017
2017-11-12,2017-12-09,28,Cycle Hires (m),0.728083,11,2017,12,2017
2017-12-10,2018-01-06,28,Cycle Hires (m),0.493608,12,2017,1,2018
2018-01-07,2018-02-03,28,Cycle Hires (m),0.609485,1,2018,2,2018
2018-02-04,2018-03-03,28,Cycle Hires (m),0.597595,2,2018,3,2018
2018-03-04,2018-03-31,28,Cycle Hires (m),0.654273,3,2018,3,2018
2018-04-01,2018-04-28,28,Cycle Hires (m),0.826567,4,2018,4,2018
2018-04-29,2018-05-26,28,Cycle Hires (m),0.8845879999999999,4,2018,5,2018
2018-05-27,2018-06-23,28,Cycle Hires (m),0.8964260000000001,5,2018,6,2018
2018-06-24,2018-07-21,28,Cycle Hires (m),0.9706299999999999,6,2018,7,2018
2018-07-22,2018-08-18,28,Cycle Hires (m),0.913386,7,2018,8,2018
2018-08-19,2018-09-15,28,Cycle Hires (m),0.802124,8,2018,9,2018
2018-09-16,2018-10-13,28,Cycle Hires (m),0.8292510000000001,9,2018,10,2018
