borough_code,borough_name,party,party_long,number_votes
E09000010,Enfield,DVP,Conservative Party,213
E09000010,Enfield,GRE,Conservative Party,10400
E09000010,Enfield,IND,Conservative Party,1142
E09000010,Enfield,LAB,Conservative Party,126230
E09000010,Enfield,LD,Conservative Party,9731
E09000010,Enfield,UKIP,Conservative Party,1035
E09000010,Enfield,WEP,Conservative Party,648
E09000011,Greenwich,BNP,British National Party,123
E09000011,Greenwich,CON,British National Party,5583
E09000011,Greenwich,CON,Conservative Party,39489
E09000011,Greenwich,DP,Conservative Party,50
E09000011,Greenwich,DVP,Conservative Party,102
E09000011,Greenwich,GRE,British National Party,254
E09000011,Greenwich,GRE,Conservative Party,14237
E09000011,Greenwich,IND,Conservative Party,1386
E09000011,Greenwich,LAB,British National Party,4425
E09000011,Greenwich,LAB,Conservative Party,102485
E09000011,Greenwich,LD,British National Party,642
E09000011,Greenwich,LD,Conservative Party,15666
E09000011,Greenwich,MRLP,Conservative Party,106
E09000011,Greenwich,PLM,Conservative Party,4737
E09000011,Greenwich,RNW,Conservative Party,221
E09000011,Greenwich,UKIP,British National Party,160
E09000011,Greenwich,UKIP,Conservative Party,455
E09000011,Greenwich,WEP,Conservative Party,652
E09000012,Hackney,CON,Conservative Party,18565
E09000012,Hackney,DP,Conservative Party,24
E09000012,Hackney,GRE,Conservative Party,28435
E09000012,Hackney,IND,Conservative Party,171
E09000012,Hackney,LAB,Conservative Party,105689
E09000012,Hackney,LD,Conservative Party,14513
E09000012,Hackney,TUSC,Conservative Party,176
E09000012,Hackney,WEP,Conservative Party,314
E09000013,Hammersmith and Fulham,CON,Conservative Party,48192
E09000013,Hammersmith and Fulham,GRE,Conservative Party,660
E09000013,Hammersmith and Fulham,IND,Conservative Party,89
E09000013,Hammersmith and Fulham,LAB,Conservative Party,77407
E09000013,Hammersmith and Fulham,LD,Conservative Party,15937
E09000013,Hammersmith and Fulham,UKIP,Conservative Party,183
E09000014,Haringey,CON,Conservative Party,15335
E09000014,Haringey,CPA,Conservative Party,67
E09000014,Haringey,DP,Conservative Party,195
E09000014,Haringey,DVP,Conservative Party,133
E09000014,Haringey,ED,Conservative Party,87
E09000014,Haringey,FED,Conservative Party,44
E09000014,Haringey,GRE,Conservative Party,20409
E09000014,Haringey,IND,Conservative Party,287
E09000014,Haringey,LAB,Conservative Party,112980
E09000014,Haringey,LD,Conservative Party,47137
E09000014,Haringey,TUSC,Conservative Party,372
E09000015,Harrow,CON,Conservative Party,94902
E09000015,Harrow,GRE,Conservative Party,2922
E09000015,Harrow,IND,Conservative Party,807
E09000015,Harrow,LAB,Conservative Party,98148
E09000015,Harrow,LD,Conservative Party,13399
E09000015,Harrow,NLP,Conservative Party,325
E09000016,Havering,BNP,British National Party,123
E09000016,Havering,CON,British National Party,4555
E09000016,Havering,CON,Conservative Party,70533
E09000016,Havering,GRE,British National Party,248
E09000016,Havering,GRE,Conservative Party,3592
E09000016,Havering,IND,Conservative Party,7814
E09000016,Havering,LAB,British National Party,1831
E09000016,Havering,LAB,Conservative Party,39755
E09000016,Havering,LD,British National Party,119
E09000016,Havering,LD,Conservative Party,3009
E09000016,Havering,NF,Conservative Party,50
E09000016,Havering,REA,British National Party,5044
E09000016,Havering,REA,Conservative Party,59239
E09000016,Havering,UKIP,British National Party,369
E09000016,Havering,UKIP,Conservative Party,6030
E09000017,Hillingdon,BNP,British National Party,143
E09000017,Hillingdon,CON,British National Party,5225
E09000017,Hillingdon,CON,Conservative Party,111134
E09000017,Hillingdon,DP,British National Party,212
E09000017,Hillingdon,DP,Conservative Party,98
E09000017,Hillingdon,DVP,Conservative Party,153
E09000017,Hillingdon,GRE,Conservative Party,10587
E09000017,Hillingdon,IND,Conservative Party,1101
E09000017,Hillingdon,LAB,British National Party,5779
E09000017,Hillingdon,LAB,Conservative Party,76741
E09000017,Hillingdon,LD,Conservative Party,3290
E09000018,Hounslow,CON,Conservative Party,57285
E09000018,Hounslow,DP,Conservative Party,559
E09000018,Hounslow,GRE,Conservative Party,15340
E09000018,Hounslow,IND,Conservative Party,1658
E09000018,Hounslow,LAB,Conservative Party,107713
E09000018,Hounslow,LD,Conservative Party,15936
E09000018,Hounslow,RNW,Conservative Party,153
E09000018,Hounslow,TUSC,Conservative Party,139
E09000019,Islington,CON,Conservative Party,16414
E09000019,Islington,DVP,Conservative Party,98
E09000019,Islington,GRE,Conservative Party,27728
E09000019,Islington,LAB,Conservative Party,102352
E09000019,Islington,LD,Conservative Party,20785
E09000019,Islington,SP,Conservative Party,52
E09000019,Islington,UKIP,Conservative Party,244
E09000019,Islington,WEP,Conservative Party,1262
E09000020,Kensington and Chelsea,AT,Advance Together,2357
E09000020,Kensington and Chelsea,CON,Advance Together,39822
E09000020,Kensington and Chelsea,CON,Conservative Party,12387
E09000020,Kensington and Chelsea,DVP,Conservative Party,27
E09000020,Kensington and Chelsea,GRE,Advance Together,223
E09000020,Kensington and Chelsea,GRE,Conservative Party,223
E09000020,Kensington and Chelsea,IND,Advance Together,58
E09000020,Kensington and Chelsea,LAB,Advance Together,21391
E09000020,Kensington and Chelsea,LAB,Conservative Party,11880
E09000020,Kensington and Chelsea,LD,Advance Together,7934
E09000020,Kensington and Chelsea,LD,Conservative Party,4584
E09000020,Kensington and Chelsea,UKIP,Advance Together,175
E09000020,Kensington and Chelsea,UKIP,Conservative Party,143
E09000021,Kingston upon Thames,CON,Conservative Party,49226
E09000021,Kingston upon Thames,GRE,Conservative Party,5235
E09000021,Kingston upon Thames,IND,Conservative Party,109
E09000021,Kingston upon Thames,LAB,Conservative Party,19079
E09000021,Kingston upon Thames,LD,Conservative Party,83136
E09000021,Kingston upon Thames,MRLP,Conservative Party,82
E09000021,Kingston upon Thames,REA,Conservative Party,3748
E09000021,Kingston upon Thames,UKIP,Conservative Party,267
E09000022,Lambeth,CON,Conservative Party,29543
E09000022,Lambeth,DP,Conservative Party,37
E09000022,Lambeth,FED,Conservative Party,26
E09000022,Lambeth,GRE,Conservative Party,42642
E09000022,Lambeth,HHCL,Conservative Party,705
E09000022,Lambeth,IND,Conservative Party,749
E09000022,Lambeth,LAB,Conservative Party,124141
E09000022,Lambeth,LD,Conservative Party,27892
E09000022,Lambeth,PP,Conservative Party,127
E09000022,Lambeth,TUSC,Conservative Party,40
