,Period beginning,Period ending,Days in period,Journey type,Passengers (m)
259,2013-02-03,2013-03-02,28,DLR Journeys (m),7.6
260,2013-03-03,2013-03-31,29,DLR Journeys (m),7.6
261,2013-04-01,2013-04-27,27,DLR Journeys (m),7.6
262,2013-04-28,2013-05-25,28,DLR Journeys (m),7.9
263,2013-05-26,2013-06-22,28,DLR Journeys (m),7.7
264,2013-06-23,2013-07-20,28,DLR Journeys (m),8.0
265,2013-07-21,2013-08-17,28,DLR Journeys (m),7.5
266,2013-08-18,2013-09-14,28,DLR Journeys (m),7.2
267,2013-09-15,2013-10-12,28,DLR Journeys (m),7.9
268,2013-10-13,2013-11-09,28,DLR Journeys (m),8.2
269,2013-11-10,2013-12-07,28,DLR Journeys (m),8.2
270,2013-12-08,2014-01-04,28,DLR Journeys (m),6.5
271,2014-01-05,2014-02-01,28,DLR Journeys (m),7.8
272,2014-02-02,2014-03-01,28,DLR Journeys (m),8.3
273,2014-03-02,2014-03-31,30,DLR Journeys (m),8.3
274,2014-04-01,2014-04-26,26,DLR Journeys (m),7.6
275,2014-04-27,2014-05-24,28,DLR Journeys (m),8.3
276,2014-05-25,2014-06-21,28,DLR Journeys (m),8.3
277,2014-06-22,2014-07-19,28,DLR Journeys (m),8.3
278,2014-07-20,2014-08-16,28,DLR Journeys (m),8.2
279,2014-08-17,2014-09-13,28,DLR Journeys (m),8.2
280,2014-09-14,2014-10-11,28,DLR Journeys (m),8.7
281,2014-10-12,2014-11-08,28,DLR Journeys (m),9.2
282,2014-11-09,2014-12-06,28,DLR Journeys (m),9.2
283,2014-12-07,2015-01-03,28,DLR Journeys (m),6.9
284,2015-01-04,2015-01-31,28,DLR Journeys (m),8.6
285,2015-02-01,2015-02-28,28,DLR Journeys (m),9.0
286,2015-03-01,2015-03-31,31,DLR Journeys (m),10.0
287,2015-04-01,2015-05-02,26,DLR Journeys (m),10.2
288,2015-05-03,2015-05-30,28,DLR Journeys (m),8.9
289,2015-05-31,2015-06-27,28,DLR Journeys (m),9.1
290,2015-06-28,2015-07-25,28,DLR Journeys (m),9.0
291,2015-07-26,2015-08-22,28,DLR Journeys (m),8.9
292,2015-08-23,2015-09-19,28,DLR Journeys (m),8.9
293,2015-09-20,2015-10-17,28,DLR Journeys (m),9.6
