Day,Number of Bicycle Hires
03/10/2017,"37,187"
04/10/2017,"36,798"
05/10/2017,"34,779"
06/10/2017,"35,344"
07/10/2017,"25,505"
08/10/2017,"28,830"
09/10/2017,"34,182"
10/10/2017,"35,961"
11/10/2017,"32,760"
12/10/2017,"36,372"
13/10/2017,"34,229"
14/10/2017,"32,123"
15/10/2017,"32,696"
16/10/2017,"34,787"
17/10/2017,"35,199"
18/10/2017,"27,348"
19/10/2017,"31,069"
20/10/2017,"31,306"
21/10/2017,"22,475"
22/10/2017,"21,013"
23/10/2017,"30,604"
24/10/2017,"33,732"
25/10/2017,"36,064"
26/10/2017,"28,423"
27/10/2017,"34,654"
28/10/2017,"26,633"
29/10/2017,"22,228"
30/10/2017,"31,364"
31/10/2017,"33,312"
01/11/2017,"34,747"
02/11/2017,"34,290"
03/11/2017,"34,716"
04/11/2017,"17,801"
05/11/2017,"21,588"
06/11/2017,"30,663"
07/11/2017,"27,314"
08/11/2017,"29,455"
09/11/2017,"31,374"
10/11/2017,"28,480"
11/11/2017,"16,679"
12/11/2017,"16,460"
13/11/2017,"29,301"
14/11/2017,"29,355"
15/11/2017,"30,564"
16/11/2017,"31,112"
17/11/2017,"29,876"
18/11/2017,"12,976"
19/11/2017,"18,874"
20/11/2017,"25,998"
21/11/2017,"31,316"
22/11/2017,"31,315"
23/11/2017,"30,147"
24/11/2017,"28,930"
25/11/2017,"17,691"
26/11/2017,"15,229"
27/11/2017,"24,324"
28/11/2017,"28,202"
29/11/2017,"27,319"
30/11/2017,"25,986"
01/12/2017,"24,321"
02/12/2017,"16,887"
03/12/2017,"12,773"
04/12/2017,"27,613"
05/12/2017,"29,611"
06/12/2017,"29,058"
07/12/2017,"24,810"
08/12/2017,"24,431"
09/12/2017,"15,509"
10/12/2017,"5,143"
11/12/2017,"13,055"
12/12/2017,"22,780"
13/12/2017,"20,074"
14/12/2017,"24,064"
15/12/2017,"21,107"
16/12/2017,"12,229"
17/12/2017,"7,519"
18/12/2017,"23,414"
19/12/2017,"22,935"
20/12/2017,"21,801"
21/12/2017,"20,945"
22/12/2017,"17,124"
23/12/2017,"9,725"
24/12/2017,"7,498"
25/12/2017,"27,305"
26/12/2017,"7,149"
27/12/2017,"5,426"
28/12/2017,"11,236"
29/12/2017,"8,346"
30/12/2017,"10,908"
31/12/2017,"9,292"
01/01/2018,"10,235"
02/01/2018,"14,394"
03/01/2018,"20,265"
04/01/2018,"17,543"
05/01/2018,"21,759"
06/01/2018,"13,920"
07/01/2018,"12,259"
08/01/2018,"23,374"
09/01/2018,"24,683"
10/01/2018,"26,787"
11/01/2018,"25,222"
12/01/2018,"24,696"
13/01/2018,"17,512"
14/01/2018,"15,070"
15/01/2018,"19,161"
16/01/2018,"26,921"
17/01/2018,"26,934"
18/01/2018,"26,471"
19/01/2018,"25,799"
20/01/2018,"9,398"
21/01/2018,"5,859"
22/01/2018,"26,337"
23/01/2018,"26,003"
24/01/2018,"20,206"
25/01/2018,"28,189"
26/01/2018,"26,430"
27/01/2018,"14,472"
28/01/2018,"17,512"
29/01/2018,"26,371"
30/01/2018,"28,002"
31/01/2018,"24,117"
01/02/2018,"25,525"
02/02/2018,"25,331"
03/02/2018,"8,975"
04/02/2018,"13,833"
05/02/2018,"23,898"
06/02/2018,"25,349"
07/02/2018,"25,388"
08/02/2018,"25,791"
09/02/2018,"21,037"
10/02/2018,"9,956"
11/02/2018,"14,621"
12/02/2018,"24,719"
13/02/2018,"20,931"
14/02/2018,"18,866"
15/02/2018,"25,264"
16/02/2018,"25,411"
17/02/2018,"23,169"
18/02/2018,"18,624"
19/02/2018,"19,879"
20/02/2018,"25,055"
21/02/2018,"26,434"
22/02/2018,"26,179"
23/02/2018,"23,067"
24/02/2018,"16,522"
25/02/2018,"14,037"
26/02/2018,"19,204"
27/02/2018,"18,741"
28/02/2018,"10,619"
01/03/2018,"8,744"
02/03/2018,"8,234"
03/03/2018,"7,924"
04/03/2018,"10,853"
05/03/2018,"24,818"
06/03/2018,"26,301"
07/03/2018,"22,044"
08/03/2018,"25,967"
09/03/2018,"18,912"
10/03/2018,"18,717"
11/03/2018,"16,259"
12/03/2018,"19,996"
13/03/2018,"28,069"
14/03/2018,"28,769"
15/03/2018,"25,318"
16/03/2018,"28,308"
17/03/2018,"8,106"
18/03/2018,"6,624"
19/03/2018,"20,488"
20/03/2018,"24,582"
21/03/2018,"27,719"
22/03/2018,"27,228"
23/03/2018,"26,894"
24/03/2018,"18,804"
25/03/2018,"19,723"
26/03/2018,"29,486"
27/03/2018,"22,603"
28/03/2018,"15,800"
29/03/2018,"20,237"
30/03/2018,"6,362"
31/03/2018,"11,032"
01/04/2018,"13,504"
02/04/2018,"7,998"
03/04/2018,"22,708"
04/04/2018,"23,173"
05/04/2018,"30,508"
06/04/2018,"30,690"
07/04/2018,"25,909"
08/04/2018,"9,759"
09/04/2018,"16,324"
10/04/2018,"26,751"
11/04/2018,"24,883"
12/04/2018,"26,473"
13/04/2018,"27,363"
14/04/2018,"34,235"
15/04/2018,"21,324"
16/04/2018,"30,730"
17/04/2018,"33,025"
18/04/2018,"40,544"
19/04/2018,"43,585"
20/04/2018,"45,048"
21/04/2018,"42,328"
22/04/2018,"38,395"
23/04/2018,"35,940"
24/04/2018,"33,430"
25/04/2018,"33,426"
26/04/2018,"34,995"
27/04/2018,"21,387"
28/04/2018,"17,368"
29/04/2018,"15,822"
30/04/2018,"17,112"
01/05/2018,"34,598"
02/05/2018,"23,727"
03/05/2018,"35,477"
04/05/2018,"36,447"
05/05/2018,"39,070"
06/05/2018,"40,606"
07/05/2018,"45,435"
08/05/2018,"41,579"
09/05/2018,"41,130"
10/05/2018,"38,054"
11/05/2018,"38,386"
12/05/2018,"16,717"
13/05/2018,"29,190"
14/05/2018,"38,095"
15/05/2018,"42,106"
16/05/2018,"34,627"
17/05/2018,"37,549"
18/05/2018,"37,305"
19/05/2018,"36,895"
20/05/2018,"39,964"
21/05/2018,"38,800"
22/05/2018,"41,242"
23/05/2018,"38,229"
24/05/2018,"31,970"
25/05/2018,"35,108"
26/05/2018,"33,573"
27/05/2018,"33,192"
28/05/2018,"36,742"
29/05/2018,"24,312"
30/05/2018,"34,884"
31/05/2018,"37,677"
01/06/2018,"37,293"
02/06/2018,"38,293"
03/06/2018,"39,871"
04/06/2018,"35,255"
05/06/2018,"37,048"
06/06/2018,"41,592"
07/06/2018,"37,841"
08/06/2018,"39,576"
09/06/2018,"36,466"
10/06/2018,"38,562"
11/06/2018,"41,027"
12/06/2018,"38,487"
13/06/2018,"40,569"
14/06/2018,"37,871"
15/06/2018,"39,862"
16/06/2018,"31,329"
17/06/2018,"26,769"
18/06/2018,"39,768"
19/06/2018,"41,862"
20/06/2018,"41,134"
21/06/2018,"41,533"
22/06/2018,"41,765"
23/06/2018,"38,772"
24/06/2018,"38,982"
25/06/2018,"44,565"
26/06/2018,"46,084"
27/06/2018,"44,788"
28/06/2018,"43,075"
29/06/2018,"43,081"
30/06/2018,"38,522"
01/07/2018,"37,334"
02/07/2018,"42,556"
03/07/2018,"44,655"
04/07/2018,"43,511"
05/07/2018,"44,052"
06/07/2018,"43,143"
07/07/2018,"36,308"
08/07/2018,"38,196"
09/07/2018,"41,893"
10/07/2018,"43,535"
11/07/2018,"44,003"
12/07/2018,"41,826"
13/07/2018,"38,879"
14/07/2018,"37,733"
15/07/2018,"37,299"
16/07/2018,"41,828"
17/07/2018,"43,392"
18/07/2018,"43,183"
19/07/2018,"42,857"
20/07/2018,"40,297"
21/07/2018,"38,763"
22/07/2018,"37,683"
23/07/2018,"42,509"
24/07/2018,"44,195"
25/07/2018,"44,870"
26/07/2018,"43,343"
27/07/2018,"34,606"
28/07/2018,"41,145"
29/07/2018,"18,974"
30/07/2018,"38,274"
31/07/2018,"42,260"
01/08/2018,"43,691"
02/08/2018,"43,292"
03/08/2018,"40,908"
04/08/2018,"39,318"
05/08/2018,"40,220"
06/08/2018,"41,963"
07/08/2018,"40,954"
08/08/2018,"42,676"
09/08/2018,"20,574"
10/08/2018,"29,253"
11/08/2018,"33,214"
12/08/2018,"23,113"
13/08/2018,"36,510"
14/08/2018,"40,735"
15/08/2018,"40,930"
16/08/2018,"28,400"
17/08/2018,"36,869"
18/08/2018,"31,691"
19/08/2018,"32,209"
20/08/2018,"37,839"
21/08/2018,"40,293"
22/08/2018,"38,401"
23/08/2018,"34,492"
24/08/2018,"27,839"
25/08/2018,"25,490"
26/08/2018,"8,177"
27/08/2018,"25,059"
28/08/2018,"34,791"
29/08/2018,"27,070"
30/08/2018,"37,001"
31/08/2018,"35,209"
01/09/2018,"35,326"
02/09/2018,"35,048"
03/09/2018,"36,068"
04/09/2018,"36,581"
05/09/2018,"36,059"
06/09/2018,"34,778"
07/09/2018,"35,451"
08/09/2018,"28,318"
09/09/2018,"30,598"
10/09/2018,"36,965"
11/09/2018,"37,221"
12/09/2018,"33,403"
13/09/2018,"38,708"
14/09/2018,"35,332"
15/09/2018,"33,465"
16/09/2018,"32,055"
17/09/2018,"39,190"
18/09/2018,"38,360"
19/09/2018,"37,027"
20/09/2018,"35,317"
21/09/2018,"32,942"
22/09/2018,"12,376"
23/09/2018,"13,192"
24/09/2018,"34,563"
25/09/2018,"36,730"
26/09/2018,"39,281"
27/09/2018,"39,835"
28/09/2018,"35,817"
29/09/2018,"32,941"
30/09/2018,"25,254"
01/10/2018,"34,411"
02/10/2018,"37,515"
03/10/2018,"38,434"
04/10/2018,"36,930"
05/10/2018,"39,569"
06/10/2018,"10,043"
07/10/2018,"25,713"
08/10/2018,"35,156"
09/10/2018,"39,132"
10/10/2018,"39,398"
11/10/2018,"35,875"
12/10/2018,"35,747"
13/10/2018,"36,393"
14/10/2018,"10,292"
15/10/2018,"28,044"
16/10/2018,"37,920"
17/10/2018,"30,482"
18/10/2018,"35,206"
19/10/2018,"34,707"
20/10/2018,"32,588"
21/10/2018,"32,484"
22/10/2018,"34,430"
23/10/2018,"34,889"
24/10/2018,"35,656"
25/10/2018,"34,640"
26/10/2018,"27,636"
27/10/2018,"18,756"
28/10/2018,"13,675"
29/10/2018,"29,409"
30/10/2018,"30,269"
31/10/2018,"32,891"
