Year,Station,Entry-Weekday,Entry-Sat,Entry-Sun,Exit-Weekday,Exit-Sat,Exit-Sun,Entry & Exit-Annual
2007,North Acton                        ,8492,4629,3182,7988,4256,2923,298.08
2007,North Ealing                       ,1477,920,539,1361,804,513,52.65
2007,North Greenwich                    ,24542,25035,15439,25405,27389,17067,1143.31
2007,North Harrow                       ,2515,1127,645,2407,1023,627,82.76
2007,North Wembley                      ,2244,1487,944,2144,1479,859,84.24
2007,Northfields                        ,6882,4301,2767,6188,3904,2748,247.69
2007,Northolt                           ,5764,3574,2334,5278,3259,2150,207.69
2007,Northwick Park                     ,6039,2837,1928,5949,2518,1947,206.40
2007,Northwood                          ,3376,1844,987,3133,1620,979,115.11
2007,Northwood Hills                    ,2306,1162,644,2034,997,579,75.34
2007,Notting Hill Gate                  ,24153,26779,13949,23952,30641,15511,1137.01
2007,Oakwood                            ,4084,3046,1997,4068,2933,2053,163.22
2007,Old Street                         ,30156,15041,9303,29546,18282,9169,1065.82
2007,Osterley                           ,3301,2381,1531,3186,2193,1469,127.59
2007,Oval                               ,9337,7823,5529,8631,6588,5095,377.57
2007,Oxford Circus                      ,105862,80901,44175,120295,97107,50269,4501.37
2007,Paddington                         ,59579,38407,29637,57977,39279,28935,2297.77
2007,Park Royal                         ,2474,1700,1020,2639,1727,995,97.40
2007,Parsons Green                      ,8978,5286,2955,7749,4561,2662,305.35
2007,Perivale                           ,3327,2007,1221,3089,1873,1218,119.15
2007,Piccadilly Circus                  ,55102,59428,34451,54443,63880,32675,2543.21
2007,Pimlico                            ,13218,7646,4977,12927,7723,5269,483.69
2007,Pinner                             ,3834,1854,973,3883,1727,968,130.79
2007,Plaistow                           ,9655,6685,4984,8844,5550,4580,364.22
2007,Preston Road                       ,5169,3148,2116,4650,2781,1945,184.16
2007,Putney Bridge                      ,8181,7423,4203,9082,6980,4401,357.14
2007,Queen's Park                       ,8805,5591,3818,7538,4002,3147,306.39
2007,Queensbury                         ,5330,3086,2112,5064,2986,2072,192.76
2007,Queensway                          ,11338,11273,8667,11697,11632,8716,531.89
2007,Ravenscourt Park                   ,4344,2278,1505,4318,2075,1419,153.00
2007,Rayners Lane                       ,6224,3930,2394,6165,3756,2337,231.34
2007,Redbridge                          ,3737,2412,1567,3562,2254,1502,138.75
2007,Regent's Park                      ,4157,2449,1676,5179,3176,2050,173.32
2007,Richmond                           ,9448,10150,8259,10806,10444,10618,488.70
2007,Rickmansworth                      ,3405,1366,719,3112,1247,712,106.73
2007,Roding Valley                      ,402,156,78,301,125,73,11.52
2007,Rotherhithe                        ,2036,1554,1116,1933,1480,1121,81.72
2007,Royal Oak                          ,2481,1692,1128,2424,1626,1104,95.31
2007,Ruislip                            ,2477,1863,881,2557,1848,891,97.05
2007,Ruislip Gardens                    ,1405,753,380,1186,615,364,45.60
2007,Ruislip Manor                      ,2521,1578,743,2356,1398,763,88.94
2007,Russell Square                     ,20559,15421,11348,21155,16894,11672,857.63
2007,Seven Sisters                      ,21281,17267,10736,20524,14994,10902,853.11
2007,Shadwell                           ,2598,2010,1434,2888,2191,1629,112.56
2007,Shepherd's Bush (Cen)              ,19718,13764,9136,18445,13349,9020,754.45
2007,Shepherd's Bush (H&C)              ,5416,5001,2668,4985,4171,2591,219.40
2007,Shoreditch                         ,0,0,0,0,0,0,0.00
2007,Sloane Square                      ,22366,16124,8528,21999,16003,8675,860.06
2007,Snaresbrook                        ,4172,1822,1080,3181,1602,978,126.15
