Latitude,Longitude,Station Name
51.6194,-0.3028,"Stanmore"
51.5221,-0.047,"Stepney Green"
51.4723,-0.123,"Stockwell"
51.5439,-0.2759,"Stonebridge Park"
51.5416,-0.0042,"Stratford"
51.4994,-0.1335,"St. James's Park"
51.5347,-0.174,"St. John's Wood"
51.5146,-0.0973,"St. Paul's"
51.5569,-0.3366,"Sudbury Hill"
51.5507,-0.3156,"Sudbury Town"
51.4933,-0.0478,"Surrey Quays"
51.5432,-0.1738,"Swiss Cottage"
51.5111,-0.1141,"Temple"
51.4361,-0.1598,"Tooting Bec"
51.4275,-0.168,"Tooting Broadway"
51.5165,-0.131,"Tottenham Court Road"
51.5882,-0.0594,"Tottenham Hale"
51.5106,-0.0743,"Tower Gateway"
51.5098,-0.0766,"Tower Hill"
51.5567,-0.1374,"Tufnell Park"
51.4951,-0.2547,"Turnham Green"
51.5904,-0.1028,"Turnpike Lane"
51.559,0.251,"Upminster"
51.5582,0.2343,"Upminster Bridge"
51.5385,0.1014,"Upney"
51.5352,0.0343,"Upton Park"
51.5463,-0.4786,"Uxbridge"
51.4861,-0.1253,"Vauxhall"
51.4965,-0.1447,"Victoria"
51.583,-0.0195,"Walthamstow Central"
51.5775,0.0288,"Wanstead"
51.5043,-0.0558,"Wapping"
51.5247,-0.1384,"Warren Street"
51.5235,-0.1835,"Warwick Avenue"
51.5036,-0.1143,"Waterloo"
51.5519,-0.2963,"Wembley Central"
51.5635,-0.2795,"Wembley Park"
51.521,-0.2011,"Westbourne Park"
51.5097,-0.0265,"Westferry"
51.501,-0.1254,"Westminster"
51.518,-0.2809,"West Acton"
51.4872,-0.1953,"West Brompton"
51.6095,-0.1883,"West Finchley"
51.5287,0.0056,"West Ham"
51.5469,-0.1906,"West Hampstead"
51.5795,-0.3533,"West Harrow"
51.507,-0.0203,"West India Quay"
51.4907,-0.2065,"West Kensington"
51.5696,-0.4376,"West Ruislip"
51.5194,-0.0612,"Whitechapel"
51.512,-0.2239,"White City"
51.5492,-0.2215,"Willesden Green"
51.5326,-0.2478,"Willesden Junction"
51.4214,-0.2064,"Wimbledon"
51.4343,-0.1992,"Wimbledon Park"
51.607,0.0341,"Woodford"
51.6179,-0.1856,"Woodside Park"
51.5975,-0.1097,"Wood Green"
51.4627,-0.1145,"Brixton"
51.6736,-0.607,"Amersham"
51.4979,-0.0637,"Bermondsey"
51.7052,-0.611,"Chesham"
51.6679,-0.561,"Chalfont & Latimer"
51.6543,-0.5183,"Chorleywood"
51.6404,-0.4733,"Rickmansworth"
51.647,-0.4412,"Croxley"
51.6573,-0.4177,"Watford"
51.5606,-0.4103,"Ruislip Gardens"
51.6503,-0.1943,"High Barnet"
51.6302,-0.1791,"Totteridge & Whetstone"
