Borough,Inner/ Outer London,GLA Population Estimate 2017,GLA Household Estimate 2017,Inland Area (Hectares),Population density (per hectare) 2017,"Average Age, 2017","Proportion of population aged 0-15, 2015","Proportion of population of working-age, 2015","Proportion of population aged 65 and over, 2015",Net internal migration (2015),Net international migration (2015),Net natural change (2015),% of resident population born abroad (2015),Largest migrant population by country of birth (2011),% of largest migrant population (2011),Second largest migrant population by country of birth (2011),% of second largest migrant population (2011),Third largest migrant population by country of birth (2011),% of third largest migrant population (2011),% of population from BAME groups (2016),% people aged 3+ whose main language is not English (2011 Census),"Overseas nationals entering the UK (NINo), (2015/16)","New migrant (NINo) rates, (2015/16)",Largest migrant population arrived during 2015/16,Second largest migrant population arrived during 2015/16,Third largest migrant population arrived during 2015/16,Employment rate (%) (2015),Male employment rate (2015),Female employment rate (2015),Unemployment rate (2015),Youth Unemployment (claimant) rate 18-24 (Dec-15),Proportion of 16-18 year olds who are NEET (%) (2014),Proportion of the working-age population who claim out-of-work benefits (%) (May-2016),% working-age with a disability (2015),Proportion of working age people with no qualifications (%) 2015,Proportion of working age with degree or equivalent and above (%) 2015,"Gross Annual Pay, (2016)",Gross Annual Pay - Male (2016),Gross Annual Pay - Female (2016),Modelled Household median income estimates 2012/13,% adults that volunteered in past 12 months (2010/11 to 2012/13),Number of jobs by workplace (2014),% of employment that is in public sector (2014),"Jobs Density, 2015","Number of active businesses, 2015",Two-year business survival rates (started in 2013),Crime rates per thousand population 2014/15,Fires per thousand population (2014),Ambulance incidents per hundred population (2014),"Median House Price, 2015","Average Band D Council Tax charge (£), 2015/16",New Homes (net) 2015/16 (provisional),"Homes Owned outright, (2014) %","Being bought with mortgage or loan, (2014) %","Rented from Local Authority or Housing Association, (2014) %","Rented from Private landlord, (2014) %","% of area that is Greenspace, 2005",Total carbon emissions (2014),"Household Waste Recycling Rate, 2014/15","Number of cars, (2011 Census)","Number of cars per household, (2011 Census)","% of adults who cycle at least once per month, 2014/15","Average Public Transport Accessibility score, 2014","Achievement of 5 or more A*- C grades at GCSE or equivalent including English and Maths, 2013/14",Rates of Children Looked After (2016),% of pupils whose first language is not English (2015),% children living in out-of-work households (2015),"Male life expectancy, (2012-14)","Female life expectancy, (2012-14)",Teenage conception rate (2014),Life satisfaction score 2011-14 (out of 10),Worthwhileness score 2011-14 (out of 10),Happiness score 2011-14 (out of 10),Anxiety score 2011-14 (out of 10),Childhood Obesity Prevalance (%) 2015/16,People aged 17+ with diabetes (%),Mortality rate from causes considered preventable 2012/14,Political control in council,Proportion of seats won by Conservatives in 2014 election,Proportion of seats won by Labour in 2014 election,Proportion of seats won by Lib Dems in 2014 election,Turnout at 2014 local elections
Greenwich,Outer London,280100,113964,"4,733",59.2,35,21.9,67.7,10.4,-407,3366,2989,35.4,Nigeria,5.1,Nepal,1.9,India,1.7,40.3,16.9,"7,002",37.6,Romania,Bulgaria,Italy,72.1,77.9,66.3,8.1,5.4,5,9.5,20.2,10.6,42.2,32415,35596,29833,"£35,350",17.4,94700,27.3,0.5,10060,72.7,79.4,2.5,11.9,340000,1296.18,1720,19.2,26.9,34.2,19.7,34.4,1014,34.3,78185,0.8,7.7,3.4,58.8,78,44.1,17.1,79,82.5,28.1,7.2,7.6,7.2,3.4,27.7,6.1,193,Lab,15.7,84.3,0.0,37.3
Hackney,Inner London,274300,115417,"1,905",144.0,33.1,20.7,72.1,7.2,-738,3359,3236,35.8,Turkey,3.6,Nigeria,2.7,Jamaica,1.8,43.6,24.1,"8,927",46.0,Italy,France,Spain,69,72.8,65.3,5.9,4.8,3,10.7,17.9,10.8,49.2,32056,.,31919,"£35,140",29.6,132800,18.1,0.7,18510,76.8,99.6,2.7,11.5,485000,1294.42,830,11.1,19.8,45.4,23.3,23.2,813,25.3,41800,0.4,25.2,4.9,60.6,53,44.2,19.7,78.5,83.3,24.7,7.0,7.3,7.0,3.8,27.0,5.8,211,Lab,7.0,87.7,5.3,39.4
Hammersmith and Fulham,Inner London,185300,83552,"1,640",113.0,35.7,17.4,72.3,10.3,-3361,2926,1462,43.2,France,2.7,Ireland,2.7,Australia,2.5,33.7,22.7,"9,256",71.4,Italy,France,Spain,77.5,80.9,74.2,4.7,2.2,2.5,8.4,12.9,4.9,67.5,38041,43845,34808,"£43,820",30.5,149500,16.4,1.2,14095,73.4,113.2,2.0,12.2,730000,1003.81,370,19.1,21.8,25.9,33.1,19.1,809,20.7,43843,0.5,20.1,4.7,60.5,58,48.9,16.1,79.7,84.1,22.4,7.4,7.5,7.2,3.1,21.3,4.4,187,Lab,43.5,56.5,0.0,37.6
Haringey,Inner London,278000,115608,"2,960",93.9,35.1,20,70.7,9.3,-4233,6675,2885,39.6,Poland,4.3,Turkey,4.0,Jamaica,2.0,38.2,29.7,"15,144",78.5,Romania,Italy,Bulgaria,71.3,77.6,64.8,5.7,5.6,3.5,9.7,16.3,8.8,49.2,31063,.,29513,"£35,420",29.8,91500,17.8,0.5,12675,74.4,90.2,2.1,12.3,432500,1484.01,240,18.0,24.7,33.4,23.9,25.5,773,37.3,61515,0.6,14.1,4.3,59.7,67,48.0,16.9,80.1,84.9,22.6,7.2,7.5,7.2,3.2,23.8,5.9,183,Lab,0.0,84.2,15.8,38.1
Harrow,Outer London,252300,92557,"5,046",50.0,38.3,20.5,64.5,15,-3644,2833,1933,49.6,India,9.0,Kenya,4.9,Sri Lanka,4.3,61.8,28.5,"10,427",65.4,Romania,India,Poland,73.9,83.1,64.7,4.6,2.4,1.5,5.4,13.9,4.2,47.9,33202,.,29335,"£38,880",38.9,88600,14.5,0.6,15155,76.5,50.4,1.3,9.8,396150,1559.61,910,33.5,32.8,8.9,24.6,34.6,748,45.1,100326,1.2,8.3,2.9,66.4,32,57.6,9.1,82.7,86.1,11,7.3,7.4,7.3,2.7,20.2,8.5,134,Lab,41.3,54.0,1.6,40.7
Havering,Outer London,254300,104098,"11,235",22.6,40.3,19.3,62.3,18.4,1710,604,785,10.9,Ireland,1.1,India,1.0,Nigeria,0.9,15.7,4.6,"2,642",17.0,Romania,Lithuania,Poland,76.5,81.3,71.8,5.3,3.3,4,7.0,18.2,10.5,26,33398,36539,27455,"£36,670",16.9,91300,20.7,0.6,10115,75.3,62.9,2.5,12.9,287500,1543.64,1010,35.2,33.9,17.2,13.8,59.3,1032,32.4,117634,1.2,7.8,2.5,59.8,42,38.9,12.6,80.2,83.9,22.8,7.4,7.7,7.2,3.3,21.8,5.9,159,No Overall Control,40.7,1.9,0.0,43.1
Hillingdon,Outer London,301000,110827,"11,570",26.0,36.4,21.3,65.6,13.1,-1616,4139,2458,32.4,India,5.7,Pakistan,1.8,Ireland,1.6,45.7,18.8,"6,993",35.8,Romania,Poland,India,73.2,80.7,65.9,5.8,2.5,2.4,6.5,17.9,8.7,40.2,33508,36107,28778,"£37,040",23.8,220900,11.4,1.0,13505,75.0,76.6,2.6,14.7,350000,1388.93,710,22.2,33.0,16.6,28.2,49.2,1713,43.8,122486,1.2,12.3,2.4,62.0,49,29.6,12.3,80.4,83.9,20.5,7.4,7.7,7.3,3.5,21.1,6.4,170,Cons,64.6,35.4,0.0,36.1
Hounslow,Outer London,274200,105887,"5,598",49.0,35.8,21.1,67.6,11.3,-3994,4425,2871,46.3,India,10.7,Poland,4.1,Pakistan,2.8,51.6,28.7,"11,336",62.4,Romania,India,Poland,74.2,84.7,63.2,4.3,2.9,3.2,6.1,17.6,6.5,45.5,31001,32235,27226,"£35,330",26.9,165700,11.7,1.0,13910,76.2,79.2,2.1,12.1,355000,1355.77,480,25.5,27.0,19.2,28.3,39.6,1277,34.5,94042,1.0,16.0,3.0,63.2,45,50.6,13.5,80,83.9,25,7.3,7.6,7.4,3.4,24.1,6.5,166,Lab,18.3,81.7,0.0,36.8
Islington,Inner London,231200,105038,"1,486",155.6,34.8,15.9,75.3,8.8,-1480,6295,1819,36.6,Ireland,2.8,Turkey,1.8,United States,1.5,32.0,19.9,"9,302",54.3,Italy,France,Spain,72.6,78.2,67,4.5,4.5,5.2,10.5,14.6,6.2,62.7,36592,38284,.,"£39,790",31.1,231500,14.5,1.5,22110,72.5,121.2,2.6,13.9,583000,1296.15,1030,15.4,23.5,35.3,25.5,12.4,878,32.8,38629,0.4,21.4,5.7,59.9,88,57.6,23.4,79,83.5,20.2,7.2,7.4,7.1,3.7,22.8,5.0,203,Lab,0.0,97.9,0.0,38.4
Kensington and Chelsea,Inner London,159000,80200,"1,212",131.1,39.3,16.4,69.3,14.3,-1741,2234,1047,51.9,United States,5.0,France,4.2,Italy,2.7,30.0,28.0,"7,237",66.2,Italy,France,Spain,68.2,76.3,60.4,4.2,3.4,3.6,7.2,14.3,5.2,65.2,.,.,.,"£55,620",31.1,143500,14.7,1.4,14350,74.5,120.9,2.0,12.7,1200000,1058.58,380,22.6,15.1,29.1,33.1,15.1,1154,25.3,44536,0.6,16.9,5.8,68.7,37,45.8,11.0,83.3,86.4,14.2,7.6,7.8,7.6,3.1,18.6,4.2,136,Cons,74.0,24.0,2.0,29.8
